구,업종명,사업장명,인허가일자,영업상태,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지지번주소,소재지도로명주소,데이터기준일자
분당구,제과점영업,모리의집,2012-06-21,영업중,-,-,-,-,38.8,경기도 성남시 분당구 구미동 221 청구상가 1층 111호,"경기도 성남시 분당구 무지개로 144, 1층 111호 (구미동, 무지개마을청구아파트)",2021-03-31
중원구,제과점영업,오거리빵집,2012-07-11,영업중,-,-,-,-,16.3,경기도 성남시 중원구 금광동 1번지 1층,"경기도 성남시 중원구 희망로 448, 1층 (금광동)",2021-03-31
중원구,제과점영업,뚜레쥬르 성남여수점,2012-11-21,영업중,-,-,-,-,90.4,경기도 성남시 중원구 여수동 405번지 102호,경기도 성남시 중원구 여수울로15번길 4-6 (여수동),2021-03-31
중원구,제과점영업,파리바게트분당여수동점,2011-08-22,영업중,-,-,-,-,41.33,경기도 성남시 중원구 여수동 600번지 1층 103호,"경기도 성남시 중원구 성남대로 1000, 1층 103호 (여수동)",2021-03-31
중원구,제과점영업,멜리사초이파티셔리&슈가크래프트,2011-08-26,영업중,-,-,-,-,21.5,"경기도 성남시 중원구 여수동 204번지 신야탑푸르지오시티2, 1층 102호일부","경기도 성남시 중원구 양현로405번길 7, 신야탑푸르지오시티2 1층 일부102호 (여수동)",2021-03-31
분당구,제과점영업,플라워,2013-09-13,영업중,-,-,-,-,30.9,경기도 성남시 분당구 구미동 226-7번지 굿모닝프라자 지하1층 B102호,"경기도 성남시 분당구 구미로 124 (구미동, 굿모닝프라자 지하1층 B102호)",2021-03-31
중원구,제과점영업,파리바게트상대원점,2001-04-27,영업중,-,-,-,-,100.81,"경기도 성남시 중원구 상대원동 4125번지 ,1층","경기도 성남시 중원구 희망로 347, 1층 (상대원동)",2021-03-31
분당구,제과점영업,파리바게뜨,2001-06-26,영업중,-,-,-,-,88.29,경기도 성남시 분당구 구미동 144-4번지 하나빌딩 1층,"경기도 성남시 분당구 미금일로 71 (구미동,하나빌딩 1층)",2021-03-31
중원구,제과점영업,이성범베이커리,2000-09-02,영업중,-,-,-,-,25.03,경기도 성남시 중원구 상대원동 784-2번지 (1층),"경기도 성남시 중원구 금상로 80, 1층 (상대원동)",2021-03-31
분당구,제과점영업,파리바게뜨(푸른마을점),2000-11-01,영업중,-,-,-,-,93.69,"경기도 성남시 분당구 수내동 83-1번지 동한프라자 1층 110호,111호","경기도 성남시 분당구 돌마로366번길 42 (수내동,  동한프라자 1층 110호,111호)",2021-03-31
