업종명,업소명,소재지(도로명),소재지전화,관할기관,기준일자
건강기능식품일반판매업,플레르뷰티,경기도 구리시 검배로 36  11층 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,싱싱그린녹즙,경기도 구리시 갈매순환로204번길 44-5  101호 (갈매동),,구리시청,2021-05-07
건강기능식품일반판매업,서울우유교문고객센터,경기도 구리시 원수택로32번길 33-20 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,위즈림,경기도 구리시 벌말로 226  508동 705호 (수택동  토평주공아파트),,구리시청,2021-05-07
건강기능식품일반판매업,비엠씨파트너스,경기도 구리시 동구릉로53번길 85  303동 401호 (인창동  성원아파트),,구리시청,2021-05-07
건강기능식품일반판매업,(주)티제이 네츄럴,경기도 구리시 동구릉로136번길 57 (인창동 롯데마트 구리점 1층 수삼코너),,구리시청,2021-05-07
건강기능식품일반판매업,(주)퍼니엠,경기도 구리시 벌말로 108-17  1층 (토평동),02  -552 -7475,구리시청,2021-05-07
건강기능식품일반판매업,건국우유 인창대리점,경기도 구리시 동구릉로30번길 15-7  1층 102호 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,애터미,경기도 구리시 이문안로 93  동은빌딩 202호 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,세븐일레븐(수택점),경기도 구리시 검배로60번길 4 (수택동),031 -552 -6035,구리시청,2021-05-07
건강기능식품일반판매업,마임구리동부지사,경기도 구리시 체육관로 162-32 (수택동 외 1필지(5층)), 031- 557-9328,구리시청,2021-05-07
건강기능식품일반판매업,디엔비,경기도 구리시 체육관로 66  103동 102호 (수택동  대림한숲아파트),,구리시청,2021-05-07
건강기능식품일반판매업,씨너지월드와이드코리아(주),경기도 구리시 체육관로 69  208동 7층 703호 (교문동  하나@),080 -564 -7000,구리시청,2021-05-07
건강기능식품일반판매업,보소몰,경기도 구리시 건원대로76번길 39  207동 2004호 (인창동  인창2단지 주공아파트),,구리시청,2021-05-07
건강기능식품일반판매업,에블린,경기도 구리시 경춘로 218-6 (수택동),031 -563 -6409,구리시청,2021-05-07
건강기능식품일반판매업,주리맘,경기도 구리시 이문안로139번길 16-7 (수택동),,구리시청,2021-05-07
