상권명,다중지역정보,업종정보,점포수,위도,경도
승지로69번길,"{""type"":""Polygon"",""coordinates"":[[[126.809518782089,37.3713348506449],[126.808901633,37.3713399070906],[126.808870293887,37.370911589661],[126.808825066841,37.3702930144973],[126.808887748687,37.3702812556673],[126.808901688584,37.3702782622408],[126.809123896947,37.3702244095156],[126.810504759405,37.3698897544403],[126.810604476077,37.3701659398131],[126.810642332695,37.3702710680173],[126.810790052131,37.370725333123],[126.810785977843,37.3712298843288],[126.810787020069,37.3712980372571],[126.80988894023,37.3713312507501],[126.809518782089,37.3713348506449]]]}","한식,분식,부동산중개,패스트푸드,사무/문구/컴퓨터",61,37.37070901,126.8098355
서현지구대,"{""type"":""Polygon"",""coordinates"":[[[127.125590294919,37.3836328289779],[127.125387812736,37.3838092971501],[127.125327919963,37.3838617932834],[127.125445249397,37.3839381250362],[127.124979225199,37.3843221471962],[127.124881870466,37.3842577892307],[127.12487741818,37.3842618331904],[127.124141467384,37.3837339508797],[127.124059942053,37.3836754734346],[127.124511027455,37.3832818832496],[127.124599643818,37.3833388556714],[127.124645298571,37.3832969549959],[127.125519747755,37.3825346809276],[127.126143234629,37.3820510099794],[127.126408638586,37.3821081588382],[127.126544982095,37.3822184202283],[127.125778981749,37.3828806942228],[127.126142541487,37.383146379529],[127.125590294919,37.3836328289779]]]}","학원-보습교습입시,이/미용/건강,학원-음악미술무용,학원-어학,종합소매점,한식",112,37.38326571,127.1252888
정조로388번길,"{""type"":""Polygon"",""coordinates"":[[[127.015929112575,37.2436351807992],[127.016802280617,37.243797581132],[127.017373194857,37.2439038212511],[127.017373231665,37.2439083516578],[127.017376251451,37.2442822325517],[127.017376934483,37.2443669918678],[127.017376939803,37.2443675281208],[127.017378890857,37.2445331380796],[127.017379191635,37.2445409005134],[127.017413036491,37.2450556414311],[127.017413005013,37.2451611379191],[127.017413006535,37.2451704759805],[127.017413009512,37.2451713786883],[127.017419384591,37.2461627627449],[127.017023351752,37.2461698504148],[127.016639678314,37.2461768065399],[127.016633702662,37.2459858380475],[127.016119035128,37.2459356689576],[127.016120445,37.246179820799],[127.015139323674,37.2460826931827],[127.015185297084,37.2458789208515],[127.014938634152,37.2458323805772],[127.01465633597,37.2456008197696],[127.014457958387,37.2455526489949],[127.014461172134,37.2455370288899],[127.014469915014,37.2454554383351],[127.014500640011,37.2453740050868],[127.014589435644,37.245138651291],[127.014602338355,37.2451044462494],[127.014602859378,37.2451030444681],[127.014642287799,37.2449953662864],[127.014646970014,37.2449801560838],[127.014722813626,37.2446776696355],[127.014724335285,37.2446709407015],[127.014740213047,37.2445922243405],[127.014740561307,37.2445904410124],[127.01482452682,37.2441458811772],[127.014831512843,37.2441143652902],[127.014832043204,37.2441119688675],[127.014948014739,37.2437756973375],[127.014953020086,37.2437575964487],[127.014960429246,37.2437222668943],[127.015090621646,37.2431989724734],[127.015092734716,37.2431908495546],[127.015095463248,37.2431803781213],[127.016017690883,37.2433236313784],[127.015929112575,37.2436351807992]]]}","한식,모텔/여관/여인숙,유흥주점,무도/유흥/가무,종합소매점",137,37.24483422,127.0160261
흥덕2로65번길,"{""type"":""Polygon"",""coordinates"":[[[127.071791243655,37.2733255374302],[127.071789505002,37.2735823350816],[127.071784509777,37.2743347078576],[127.071258803679,37.2743325623802],[127.070995244268,37.2743316238012],[127.071000829616,37.2744474604952],[127.070623678284,37.2744388218135],[127.070340236954,37.2743364511343],[127.069929539733,37.2740516376221],[127.069974647216,37.2740261992599],[127.069992443605,37.2740161649143],[127.071072789313,37.2734068764231],[127.072930594676,37.2723590703094],[127.072965632348,37.2723393116741],[127.072971860953,37.2723357986494],[127.073070993194,37.272435865939],[127.072894526467,37.2725457142828],[127.072889809332,37.2733338520222],[127.072883901668,37.274334299276],[127.072331387026,37.274334482788],[127.072332531534,37.2733207630921],[127.071791243655,37.2733255374302]]]}","한식,이/미용/건강,커피점/카페,일식/수산물,유아교육",41,37.27363215,127.0717459
대호로117번길,"{""type"":""Polygon"",""coordinates"":[[[127.05367780118,37.163510128255],[127.054144919476,37.1635214555519],[127.054141796171,37.1639421351291],[127.053951458767,37.1638842988132],[127.052662986486,37.1638548722923],[127.052664919945,37.1635020474872],[127.053238733718,37.1635066264373],[127.053279989309,37.160645939286],[127.053719040231,37.1606494407216],[127.05367780118,37.163510128255]]]}","한식,세탁/가사서비스,이/미용/건강,종합소매점,인력/고용/용역알선,음/식료품소매,운동/경기용품소매,유흥주점,부동산중개",14,37.16256449,127.0534598
신아로92번길,"{""type"":""Polygon"",""coordinates"":[[[127.492772044097,37.2565605652929],[127.492837269498,37.256605617729],[127.492693107945,37.2571960787759],[127.492537832198,37.2576042970473],[127.491962320274,37.2580036772219],[127.491895480495,37.2580943481309],[127.491644452642,37.2580701824616],[127.491703687155,37.2576424055505],[127.490311276204,37.2575564621314],[127.490389001931,37.2574188122512],[127.49095467439,37.257173712891],[127.491101393313,37.2568868296629],[127.490384347574,37.2566956459192],[127.490615085162,37.2560683880735],[127.491103634187,37.256185094358],[127.492054235873,37.256062163314],[127.492772044097,37.2565605652929]]]}","학원-어학,이/미용/건강,의복의류,학원-음악미술무용,닭/오리요리",37,37.2569424,127.4916628
구성3로28번길,"{""type"":""Polygon"",""coordinates"":[[[127.1540884078,37.2955500873955],[127.153214238104,37.2951448313059],[127.152590438985,37.2951074273237],[127.152581258965,37.2955494610378],[127.152577191053,37.2957552761016],[127.152553557899,37.2960716164658],[127.152507073535,37.2966972624699],[127.152054986099,37.2966850187777],[127.151795649248,37.2966775317149],[127.151849037419,37.2961597846514],[127.151891740616,37.2957461500797],[127.151944739626,37.2952314980635],[127.151834781799,37.294853096203],[127.151621216356,37.2946933134143],[127.151153322099,37.2945517029711],[127.150685428793,37.2945044235385],[127.150313700847,37.2944307987084],[127.150310378879,37.2940675212989],[127.150316551738,37.2940452491237],[127.150357468149,37.2940407324855],[127.150420970251,37.2940161339423],[127.15047184985,37.2939770617305],[127.150505126494,37.2939273405287],[127.150517542859,37.2938718374107],[127.150507883587,37.2938159854151],[127.150477094243,37.29376525172],[127.150428188731,37.2937246024787],[127.150407862603,37.2937159194204],[127.150410661188,37.2937058307001],[127.150515343467,37.2933289664511],[127.151225442929,37.2934638659374],[127.151888770038,37.2935896976794],[127.152520796625,37.2937096701245],[127.153405707019,37.2938776264128],[127.153857534033,37.293974622654],[127.154430785756,37.2941504838245],[127.155031744775,37.294338929758],[127.154513268538,37.295790218598],[127.154249349733,37.2956252948009],[127.1540884078,37.2955500873955]]]}","병원,학원-보습교습입시,이/미용/건강,분식,커피점/카페",58,37.29466347,127.1526475
운중로267번길,"{""type"":""Polygon"",""coordinates"":[[[127.094150227378,37.389736185492],[127.094208067137,37.3899742867382],[127.094386140758,37.390485882954],[127.093239450248,37.3905807326796],[127.093014863012,37.3899758551015],[127.092708250718,37.3891500798907],[127.092946967912,37.3891034317148],[127.092952381132,37.3891023170593],[127.093588107069,37.3889646922133],[127.093937342636,37.3888982231733],[127.093946893377,37.388896405361],[127.094150227378,37.389736185492]]]}","이/미용/건강,화장품소매,한식,커피점/카페,일식/수산물",42,37.38976147,127.0935653
부일로_2,"{""type"":""Polygon"",""coordinates"":[[[126.770810511178,37.4859197277176],[126.77280541893,37.4856382553136],[126.772712827835,37.486034400988],[126.772653564506,37.4862877658334],[126.772564673319,37.4866675314861],[126.772456916117,37.4871810741522],[126.771182514953,37.4873710814479],[126.771055961036,37.4868985227998],[126.770921299026,37.4863176440823],[126.770905606022,37.4862617293358],[126.770810511178,37.4859197277176]]]}","종합소매점,가정/주방/인테리어,한식,이/미용/건강,음/식료품소매,의복의류,무도/유흥/가무,자동차/자동차용품,사무/문구/컴퓨터,학원-음악미술무용,학원기타,세탁/가사서비스",13,37.48647327,126.7718109
보화로,"{""type"":""Polygon"",""coordinates"":[[[126.828810182829,37.3303566000802],[126.829067709679,37.3306677608382],[126.829464683208,37.3304909082644],[126.829976096285,37.3304610446897],[126.831092511712,37.3304146241419],[126.831117782696,37.330718419815],[126.831153104033,37.3310791943727],[126.831177925568,37.3315260296282],[126.831228100191,37.3324309685871],[126.831269985195,37.3332564192809],[126.830873890894,37.3337858279637],[126.830409592156,37.333527256656],[126.829682844765,37.334275846096],[126.829349926641,37.3338907301771],[126.828573255702,37.3329690343099],[126.827930191395,37.3321646675364],[126.82766850639,37.3323004843513],[126.827397653744,37.3319774715123],[126.827206955063,37.3317500438129],[126.82669908799,37.3311443554866],[126.826951998676,37.3310094431254],[126.826954025524,37.3310083657347],[126.826954332722,37.3310082021508],[126.827779548752,37.3305679873997],[126.828615832623,37.3301218551986],[126.828810182829,37.3303566000802]]]}","이/미용/건강,한식,종합소매점,가정/주방/인테리어,음/식료품소매,의복의류",96,37.33193809,126.8294225
