사업체명,관리번호,지번코드,지번주소
산촌 누룽지 닭백숙,3115292324,4.16103E+18,경기도 광주시 오포읍 신현리
곱깨비,31N1557701,4.16103E+18,경기도 광주시 오포읍 신현리
서울장묘산업,3115325579,4.16103E+18,경기도 광주시 오포읍 신현리
푸른학원,3117158109,4.16103E+18,경기도 광주시 오포읍 신현리
엠베스트SE신현온원학원,3119586595,4.16103E+18,경기도 광주시 오포읍 신현리
샌커스&휘데스,3117158120,4.16103E+18,경기도 광주시 오포읍 신현리
주식회사에펠모터스주식회사,3119586701,4.16103E+18,경기도 광주시 오포읍 신현리
주식회사 에펠모터스서비스,1831501842,4.16103E+18,경기도 광주시 오포읍 신현리
세계사이버대학,3109116764,4.16103E+18,경기도 광주시 오포읍 신현리
신현중학교,3117158205,4.16103E+18,경기도 광주시 오포읍 신현리
오포서울치과의원,3117158215,4.16103E+18,경기도 광주시 오포읍 신현리
에스엠모바일,3119586709,4.16103E+18,경기도 광주시 오포읍 신현리
가즈아 김밥,1831501279,4.16103E+18,경기도 광주시 오포읍 신현리
벨라헤어플레이스,3116398031,4.16103E+18,경기도 광주시 오포읍 신현리
주식회사 씨프랜,1831500305,4.16103E+18,경기도 광주시 오포읍 신현리
e편한아이세상 어린이집,3119586838,4.16103E+18,경기도 광주시 오포읍 신현리
이편한세상오포3차입주자대표회의,3119586856,4.16103E+18,경기도 광주시 오포읍 신현리
케이비코리아(주),3114367315,4.16103E+18,경기도 광주시 오포읍 신현리
Polynote 폴리노트,1831500484,4.16103E+18,경기도 광주시 오포읍 신현리
몽뜨,1831501457,4.16103E+18,경기도 광주시 오포읍 신현리
팔팔매운떡볶이,1831501799,4.16103E+18,경기도 광주시 오포읍 신현리
태재대림공인중개사사무소,1831500940,4.16103E+18,경기도 광주시 오포읍 신현리
세븐일레븐 광주태재점,31N1554364,4.16103E+18,경기도 광주시 오포읍 신현리
하마상사,3100447536,4.16103E+18,경기도 광주시 오포읍 신현리
킹스타피자 신현점,3116427247,4.16103E+18,경기도 광주시 오포읍 신현리
족보전,3115516940,4.16103E+18,경기도 광주시 오포읍 신현리
나누리 김밥나라,3114353016,4.16103E+18,경기도 광주시 오포읍 신현리
동서울공인중개사사무소,3111118833,4.16103E+18,경기도 광주시 오포읍 신현리
현대당구장,3109136555,4.16103E+18,경기도 광주시 오포읍 신현리
리더스학원,3115211236,4.16103E+18,경기도 광주시 오포읍 신현리
슈퍼맨모바일,3116427259,4.16103E+18,경기도 광주시 오포읍 신현리
메가엠지씨커피 경기광주신현점,1831501712,4.16103E+18,경기도 광주시 오포읍 신현리
양칭,3119586872,4.16103E+18,경기도 광주시 오포읍 신현리
열린우리교회,3113173253,4.16103E+18,경기도 광주시 오포읍 신현리
김대박갈매기(식당),3115119576,4.16103E+18,경기도 광주시 오포읍 신현리
빅토리아워시 직영점,31N1555953,4.16103E+18,경기도 광주시 오포읍 신현리
김대박갈매기(정육점),3117158401,4.16103E+18,경기도 광주시 오포읍 신현리
(주)르노삼성자동차분당정비사업소,3105106089,4.16103E+18,경기도 광주시 오포읍 신현리
리폼story보비,3113480079,4.16103E+18,경기도 광주시 오포읍 신현리
미노건축사사무소,3113093144,4.16103E+18,경기도 광주시 오포읍 신현리
라인공인중개사사무소,3117158523,4.16103E+18,경기도 광주시 오포읍 신현리
클럽코디피팅센타,3113574834,4.16103E+18,경기도 광주시 오포읍 신현리
티월드,3116430314,4.16103E+18,경기도 광주시 오포읍 신현리
휴&뷰,3116430428,4.16103E+18,경기도 광주시 오포읍 신현리
조은주택공인중개사사무소,3115215034,4.16103E+18,경기도 광주시 오포읍 신현리
네일i,3119589462,4.16103E+18,경기도 광주시 오포읍 신현리
토고리옛날막창,3104113290,4.16103E+18,경기도 광주시 오포읍 신현리
클럽 더블 에스 (SS),3109117000,4.16103E+18,경기도 광주시 오포읍 신현리
기천한우직판장(분당점),3115118415,4.16103E+18,경기도 광주시 오포읍 신현리
네네치킨,3115374989,4.16103E+18,경기도 광주시 오포읍 신현리
꾸미는강아지,3119589563,4.16103E+18,경기도 광주시 오포읍 신현리
왕손짜장,3111119079,4.16103E+18,경기도 광주시 오포읍 신현리
광명포차,3116429866,4.16103E+18,경기도 광주시 오포읍 신현리
W당구장,3116429880,4.16103E+18,경기도 광주시 오포읍 신현리
빅토리복싱집,31N1555954,4.16103E+18,경기도 광주시 오포읍 신현리
오포육돈가,1831501197,4.16103E+18,경기도 광주시 오포읍 신현리
오포육돈가,3119589572,4.16103E+18,경기도 광주시 오포읍 신현리
불불이숯불구이,3117126240,4.16103E+18,경기도 광주시 오포읍 신현리
불로굽는포차,1831500999,4.16103E+18,경기도 광주시 오포읍 신현리
찌마기,3117126248,4.16103E+18,경기도 광주시 오포읍 신현리
장보는강양이 분당오포점,3115496155,4.16103E+18,경기도 광주시 오포읍 신현리
옹기 꽃게장,3114368423,4.16103E+18,경기도 광주시 오포읍 신현리
엠투이학원,3114369530,4.16103E+18,경기도 광주시 오포읍 신현리
행복플러스 복권방,3115669831,4.16103E+18,경기도 광주시 오포읍 신현리
우마미,3116429990,4.16103E+18,경기도 광주시 오포읍 신현리
감람화원,3105110113,4.16103E+18,경기도 광주시 오포읍 신현리
신두루막창,3119589677,4.16103E+18,경기도 광주시 오포읍 신현리
애플펫,3107142844,4.16103E+18,경기도 광주시 오포읍 신현리
애플펫 동물병원,3119589693,4.16103E+18,경기도 광주시 오포읍 신현리
제일공인중개사사무소,3117126343,4.16103E+18,경기도 광주시 오포읍 신현리
제일공인중개사사무소,31N1555955,4.16103E+18,경기도 광주시 오포읍 신현리
LG공인중개사,3104113283,4.16103E+18,경기도 광주시 오포읍 신현리
서울공인중개사,3104113282,4.16103E+18,경기도 광주시 오포읍 신현리
가화 부동산,3115485303,4.16103E+18,경기도 광주시 오포읍 신현리
태재자동차,3105069337,4.16103E+18,경기도 광주시 오포읍 신현리
광주서비스센터,3119589713,4.16103E+18,경기도 광주시 오포읍 신현리
J-피팅센터,3115024065,4.16103E+18,경기도 광주시 오포읍 신현리
언더골프,3115404406,4.16103E+18,경기도 광주시 오포읍 신현리
월드부동산,31N1557987,4.16103E+18,경기도 광주시 오포읍 신현리
창대조명,3113139305,4.16103E+18,경기도 광주시 오포읍 신현리
어광회항,3119589814,4.16103E+18,경기도 광주시 오포읍 신현리
"광어 9,900",31N1555956,4.16103E+18,경기도 광주시 오포읍 신현리
다우닝가구,3117126426,4.16103E+18,경기도 광주시 오포읍 신현리
크록스팩토리아울렛점,3119589824,4.16103E+18,경기도 광주시 오포읍 신현리
분당현대주유소,3119589913,4.16103E+18,경기도 광주시 오포읍 신현리
악어 스크린,3113451626,4.16103E+18,경기도 광주시 오포읍 신현리
루엔퍼,1831501052,4.16103E+18,경기도 광주시 오포읍 신현리
홍대디자인가구,3119589923,4.16103E+18,경기도 광주시 오포읍 신현리
(주)데코룸가구아울렛,3114053487,4.16103E+18,경기도 광주시 오포읍 신현리
(주)까사미아오포점,3107038672,4.16103E+18,경기도 광주시 오포읍 신현리
삼미상사(주)동부주유소,3111118926,4.16103E+18,경기도 광주시 오포읍 신현리
동부,1831501232,4.16103E+18,경기도 광주시 오포읍 신현리
아우라 디자인,3117126538,4.16103E+18,경기도 광주시 오포읍 신현리
정석디자인가구,3119589946,4.16103E+18,경기도 광주시 오포읍 신현리
초이스 가구,1831501682,4.16103E+18,경기도 광주시 오포읍 신현리
