지형지물부호,지번주소,X좌표,Y좌표,데이터기준일
지류,경기도 광주시 남종면 검천리산96-6번지,37.53063601,127.3295136,2019-12-30
지류,경기도 광주시 곤지암읍 이선리254번지,37.34977409,127.4207541,2019-12-30
지류,경기도 광주시 오포읍 양벌리940-2번지,37.36648422,127.2466964,2019-12-30
지류,경기도 광주시 남한산성면 하번천리141번지,37.44268264,127.2879296,2019-12-30
지류,경기도 광주시 태전동447-2번지,37.39623238,127.2112068,2019-12-30
지류,경기도 광주시 남종면 검천리744-1번지,37.52709004,127.3366618,2019-12-30
지류,경기도 광주시 곤지암읍 수양리417-1번지,37.33370402,127.3705693,2019-12-30
지류,경기도 광주시 도척면 방도리654번지,37.27649123,127.3087548,2019-12-30
지류,경기도 광주시 초월읍 산이리175-5번지,37.36075664,127.3078262,2019-12-30
지류,경기도 광주시 남한산성면 오전리228-2번지,37.4498253,127.2257338,2019-12-30
지류,경기도 광주시 곤지암읍 장심리277번지,37.37571884,127.3959066,2019-12-30
지류,경기도 광주시 오포읍 매산리401번지,37.36053615,127.2666692,2019-12-30
지류,경기도 광주시 남종면 분원리124번지,37.49535461,127.3022343,2019-12-30
지류,경기도 광주시 퇴촌면 도마리279-1번지,37.46369452,127.2714299,2019-12-30
지류,경기도 광주시 오포읍 능평리654-10번지,37.34401285,127.1547793,2019-12-30
지류,경기도 광주시 남한산성면 오전리456-1번지,37.45896238,127.2202706,2019-12-30
지류,경기도 광주시 중대동산13-1번지,37.40330356,127.2190169,2019-12-30
지류,경기도 광주시 곤지암읍 열미리329-6번지,37.35662754,127.3671048,2019-12-30
지류,경기도 광주시 곤지암읍 삼리262-1번지,37.3555995,127.3150865,2019-12-30
지류,경기도 광주시 장지동661-3번지,37.39982848,127.2332842,2019-12-30
지류,경기도 광주시 오포읍 문형리63-5번지,37.35570112,127.2030628,2019-12-30
지류,경기도 광주시 남종면 귀여리244번지,37.51474842,127.3197349,2019-12-30
지류,경기도 광주시 초월읍 지월리790번지,37.42749336,127.2869207,2019-12-30
지류,경기도 광주시 남한산성면 검복리산130번지,37.46817343,127.1844742,2019-12-30
지류,경기도 광주시 퇴촌면 우산리556-5번지,37.41529558,127.3838067,2019-12-30
지류,경기도 광주시 곤지암읍 장심리387번지,37.37912617,127.3979118,2019-12-30
지류,경기도 광주시 남종면 수청리172번지,37.50009053,127.3740982,2019-12-30
지류,경기도 광주시 남종면 분원리24번지,37.49224699,127.3085621,2019-12-30
지류,경기도 광주시 퇴촌면 정지리167-3번지,37.44355193,127.3099588,2019-12-30
지류,경기도 광주시 오포읍 양벌리919번지,37.36515859,127.2493739,2019-12-30
지류,경기도 광주시 퇴촌면 광동리361-3번지,37.46515076,127.3053294,2019-12-30
지류,경기도 광주시 오포읍 양벌리104-2번지,37.38722948,127.2484655,2019-12-30
지류,경기도 광주시 곤지암읍 신촌리101-8번지,37.32736486,127.3957062,2019-12-30
지류,경기도 광주시 초월읍 지월리255번지,37.41093829,127.2940811,2019-12-30
지류,경기도 광주시 오포읍 추자리67-1번지,37.36743587,127.2238137,2019-12-30
지류,경기도 광주시 남종면 수청리364번지,37.51334542,127.3690219,2019-12-30
지류,경기도 광주시 목동306번지,37.38006941,127.1994857,2019-12-30
지류,경기도 광주시 오포읍 문형리166-2번지,37.34979412,127.2063645,2019-12-30
지류,경기도 광주시 초월읍 신월리49-2번지,37.39408152,127.3254551,2019-12-30
지류,경기도 광주시 곤지암읍 수양리143번지,37.33521078,127.3794833,2019-12-30
지류,경기도 광주시 남종면 수청리179번지,37.50220916,127.3743068,2019-12-30
지류,경기도 광주시 목현동46번지,37.43329739,127.2337119,2019-12-30
지류,경기도 광주시 퇴촌면 영동리560-3번지,37.48407953,127.3658414,2019-12-30
지류,경기도 광주시 퇴촌면 영동리218-17번지,37.47572597,127.3810621,2019-12-30
지류,경기도 광주시 도척면 추곡리105번지,37.26830125,127.296675,2019-12-30
지류,경기도 광주시 초월읍 무갑리758-1번지,37.42373448,127.3079598,2019-12-30
지류,경기도 광주시 오포읍 신현리744-6번지,37.35716533,127.1492702,2019-12-30
지류,경기도 광주시 퇴촌면 도마리170-2번지,37.46819254,127.2775815,2019-12-30
지류,경기도 광주시 장지동667번지,37.40100365,127.2352601,2019-12-30
지류,경기도 광주시 도척면 추곡리134-2번지,37.27169252,127.292652,2019-12-30
지류,경기도 광주시 곤지암읍 유사리316번지,37.36999415,127.4133055,2019-12-30
지류,경기도 광주시 곤지암읍 신촌리254-3번지,37.32557093,127.3867839,2019-12-30
지류,경기도 광주시 곤지암읍 이선리5-61번지,37.35851724,127.4324498,2019-12-30
지류,경기도 광주시 오포읍 신현리934번지,37.35575648,127.138856,2019-12-30
지류,경기도 광주시 남종면 금사리15번지,37.48758807,127.322525,2019-12-30
지류,경기도 광주시 곤지암읍 삼합리505-3번지,37.37664075,127.4329572,2019-12-30
지류,경기도 광주시 초월읍 대쌍령리154-40번지,37.391454,127.2890911,2019-12-30
지류,경기도 광주시 도척면 방도리8-1번지,37.27962483,127.3465145,2019-12-30
지류,경기도 광주시 남종면 수청리879번지,37.49555037,127.3709355,2019-12-30
지류,경기도 광주시 남종면 검천리745-1번지,37.52705101,127.3377369,2019-12-30
지류,경기도 광주시 곤지암읍 건업리630번지,37.3826956,127.3999046,2019-12-30
지류,경기도 광주시 오포읍 신현리416-12번지,37.37058102,127.1629834,2019-12-30
지류,경기도 광주시 곤지암읍 수양리511-2번지,37.34119446,127.3710035,2019-12-30
지류,경기도 광주시 곤지암읍 부항리43-8번지,37.35028687,127.4096209,2019-12-30
지류,경기도 광주시 도척면 도웅리14-39번지,37.32455448,127.3115879,2019-12-30
지류,경기도 광주시 초월읍 서하리448-1번지,37.43370403,127.3008962,2019-12-30
지류,경기도 광주시 남한산성면 불당리54번지,37.45700992,127.2152496,2019-12-30
지류,경기도 광주시 퇴촌면 원당리201번지,37.436698,127.3198755,2019-12-30
지류,경기도 광주시 삼동28-1번지,37.4175944,127.2121695,2019-12-30
지류,경기도 광주시 퇴촌면 도수리295-1번지,37.46611637,127.3242672,2019-12-30
