업소명,업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,객실수,위도,경도,데이터기준일자
초록민박,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 69,경기도 가평군 설악면 가일리 251,5,37.59571208,127.4911755,2021-06-09
부엉이우는산골황토방민박,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 61-102,경기도 가평군 설악면 가일리 215-7,2,37.59715444,127.4944492,2021-06-09
장자터,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 79-76,경기도 가평군 설악면 가일리 230-1,1,37.59223277,127.4899979,2021-06-09
유명산민박,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 79-6,경기도 가평군 설악면 가일리 252-4,7,37.59472956,127.4905753,2021-06-09
엘리스산장,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 204,경기도 가평군 설악면 가일리 21,7,37.59256617,127.5111123,2021-06-09
유명,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 214-7,경기도 가평군 설악면 가일리 16-1,2,37.59172797,127.5105005,2021-06-09
대일민박,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 225,경기도 가평군 설악면 가일리 9-2,2,37.59032177,127.5114518,2021-06-09
메이플렌드펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 행자골길 36-21,경기도 가평군 청평면 상천리 1217-20,4,37.76442419,127.4517243,2021-06-09
별빛언덕,민박,내국인+외국인,없음,경기도 가평군 청평면 수리재길 428,경기도 가평군 청평면 상천리 800-1,4,37.79882137,127.4381735,2021-06-09
호수위에하얀집,민박,내국인+외국인,없음,경기도 가평군 청평면 상지로 257,경기도 가평군 청평면 상천리 1507-2,7,37.76875828,127.4774504,2021-06-09
동해민박,민박,내국인+외국인,없음,경기도 가평군 청평면 청평역로 38-18,경기도 가평군 청평면 청평리 132-1,5,37.73321518,127.4249159,2021-06-09
리치빌,민박,내국인+외국인,없음,경기도 가평군 청평면 청평역로 36-11,경기도 가평군 청평면 청평리 95-16,4,37.73298009,127.4237472,2021-06-09
율림동산,민박,내국인+외국인,없음,경기도 가평군 청평면 안대성길 21-42,경기도 가평군 청평면 대성리 360-7,3,37.69673452,127.3774809,2021-06-09
오이코스,민박,내국인+외국인,없음,경기도 가평군 청평면 고재길 270,경기도 가평군 청평면 고성리 89,7,37.70463887,127.5147479,2021-06-09
아스테리아펜션,민박,내국인+외국인,없음,경기도 가평군 상면 청우산1길 152,경기도 가평군 상면 덕현리 569,7,37.77239945,127.3942976,2021-06-09
인터라켄,민박,내국인+외국인,없음,경기도 가평군 청평면 호반로 886,경기도 가평군 청평면 고성리 786-4,7,37.71061427,127.4819948,2021-06-09
언덕위에풍경,민박,내국인+외국인,없음,경기도 가평군 조종면 운악청계로 304,경기도 가평군 조종면 신상리 89,5,37.84256274,127.3561114,2021-06-09
예해든펜션그랜드룸,민박,내국인+외국인,없음,경기도 가평군 조종면 와곡길 93-146,경기도 가평군 조종면 운악리 495,1,37.86969497,127.3510787,2021-06-09
산천가든민박,민박,내국인+외국인,없음,경기도 가평군 조종면 명지산로 327-47,경기도 가평군 조종면 상판리 445-1,1,37.90104773,127.3708301,2021-06-09
별바라기펜션,민박,내국인+외국인,없음,경기도 가평군 조종면 명지산로 531,경기도 가평군 조종면 상판리 141-5,5,37.91437499,127.3853234,2021-06-09
올인,민박,내국인+외국인,없음,경기도 가평군 가평읍  북한강변로 1037,경기도 가평군 가평읍  달전리 110-1,7,37.80512617,127.5249463,2021-06-09
용추계곡유원지,민박,내국인+외국인,없음,경기도 가평군 가평읍  용추로 291,경기도 가평군 가평읍  승안리 409,3,37.85124769,127.4813355,2021-06-09
풍경소리,민박,내국인+외국인,없음,경기도 가평군 가평읍  용추로 508-52,경기도 가평군 가평읍  승안리 633-4,7,37.86122311,127.4709422,2021-06-09
용추펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍  용추로 508-71,경기도 가평군 가평읍  승안리 646-11,6,37.86156533,127.469828,2021-06-09
푸른초원의집,민박,내국인+외국인,없음,경기도 가평군 가평읍  당목가일길 697,경기도 가평군 가평읍  개곡리 110-1,1,37.87876342,127.5837828,2021-06-09
엘림폭포민박,민박,내국인+외국인,없음,경기도 가평군 북면 용수목길 27,경기도 가평군 북면 적목리 500,1,37.98853587,127.4354865,2021-06-09
용추사랑,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 508-51,경기도 가평군 가평읍 승안리 633-13,5,37.86097068,127.4706808,2021-06-09
숲속의아침,민박,내국인+외국인,없음,경기도 가평군 청평면 안대성길 21-38,경기도 가평군 청평면 대성리 359-6,2,37.69641129,127.3786838,2021-06-09
사과꽃향기,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 333,경기도 가평군 상면 행현리 605-1,5,37.75027056,127.3586287,2021-06-09
청솔민박,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 418-21,경기도 가평군 상면 행현리 618,4,37.74593684,127.3526324,2021-06-09
