지형지물부호,지번주소,X좌표,Y좌표,데이터기준일자
호수,경기도 광주시 도척면 궁평리521-2번지,37.33777852,127.3155527,2019-12-28
호수,경기도 광주시 직동358번지,37.39594613,127.178378,2019-12-28
호수,경기도 광주시 오포읍 신현리28-1번지,37.37566837,127.1765891,2019-12-28
호수,경기도 광주시 목현동838번지,37.42821664,127.2201145,2019-12-28
호수,경기도 광주시 경안동229-2번지,37.40389371,127.2489658,2019-12-28
호수,경기도 광주시 오포읍 양벌리306번지,37.38035617,127.2544847,2019-12-28
호수,경기도 광주시 오포읍 고산리355-1번지,37.37570663,127.2291484,2019-12-28
호수,경기도 광주시 탄벌동591번지,37.42064149,127.2343716,2019-12-28
호수,경기도 광주시 태전동47번지,37.37939792,127.2300479,2019-12-28
호수,경기도 광주시 쌍령동19-10번지,37.41105564,127.2644948,2019-12-28
호수,경기도 광주시 도척면 유정리61-3번지,37.2928502,127.3330464,2019-12-28
호수,경기도 광주시 오포읍 신현리888-2번지,37.35829643,127.1411863,2019-12-28
호수,경기도 광주시 오포읍 신현리1053번지,37.34828936,127.1367741,2019-12-28
호수,경기도 광주시 남종면 수청리1110-6번지,37.50713908,127.3762112,2019-12-28
호수,경기도 광주시 오포읍 능평리598-12번지,37.35113462,127.1501847,2019-12-28
호수,경기도 광주시 오포읍 문형리147-5번지,37.3514894,127.2065499,2019-12-28
호수,경기도 광주시 퇴촌면 관음리111-7번지,37.44541029,127.3584256,2019-12-28
호수,경기도 광주시 도척면 궁평리664-4번지,37.3323103,127.3189312,2019-12-28
호수,경기도 광주시 오포읍 양벌리산118번지,37.37608989,127.2538268,2019-12-28
호수,경기도 광주시 태전동136번지,37.38252738,127.2346344,2019-12-28
호수,경기도 광주시 퇴촌면 도수리545번지,37.47658106,127.316971,2019-12-28
호수,경기도 광주시 남종면 수청리349-1번지,37.51230108,127.3708858,2019-12-28
호수,경기도 광주시 초월읍 지월리592-5번지,37.41517458,127.2912623,2019-12-28
호수,경기도 광주시 도척면 궁평리733번지,37.3406186,127.3142743,2019-12-28
호수,경기도 광주시 오포읍 능평리650-2번지,37.34481975,127.1554701,2019-12-28
호수,경기도 광주시 초월읍 학동리398-2번지,37.3715848,127.3324418,2019-12-28
호수,경기도 광주시 곤지암읍 신대리23-1번지,37.35438964,127.3384635,2019-12-28
호수,경기도 광주시 남한산성면 불당리288번지,37.45183617,127.2136534,2019-12-28
호수,경기도 광주시 도척면 추곡리24-1번지,37.28387868,127.3053944,2019-12-28
호수,경기도 광주시 삼동15번지,37.41763273,127.2098079,2019-12-28
호수,경기도 광주시 퇴촌면 도수리543-1번지,37.47710379,127.3169889,2019-12-28
호수,경기도 광주시 도척면 추곡리산54-3번지,37.29186156,127.2825385,2019-12-28
호수,경기도 광주시 오포읍 능평리703-1번지,37.34175655,127.1479879,2019-12-28
호수,경기도 광주시 도척면 궁평리199-5번지,37.33131131,127.3222917,2019-12-28
호수,경기도 광주시 퇴촌면 도수리산90번지,37.47053355,127.3454589,2019-12-28
호수,경기도 광주시 태전동64번지,37.37775983,127.2275692,2019-12-28
호수,경기도 광주시 초월읍 쌍동리143-3번지,37.36721261,127.3008576,2019-12-28
호수,경기도 광주시 퇴촌면 우산리435-1번지,37.42396585,127.3806966,2019-12-28
호수,경기도 광주시 탄벌동641-1번지,37.42253342,127.2273815,2019-12-28
호수,경기도 광주시 도척면 궁평리419번지,37.33869945,127.3174291,2019-12-28
호수,경기도 광주시 오포읍 추자리438-2번지,37.3604085,127.2198672,2019-12-28
호수,경기도 광주시 쌍령동49-13번지,37.41145009,127.2656206,2019-12-28
호수,경기도 광주시 퇴촌면 도수리527번지,37.47577317,127.31907,2019-12-28
호수,경기도 광주시 남종면 삼성리532번지,37.47772762,127.277863,2019-12-28
호수,경기도 광주시 도척면 진우리258번지,37.32721224,127.3303851,2019-12-28
호수,경기도 광주시 직동294-4번지,37.39902888,127.1837432,2019-12-28
호수,경기도 광주시 오포읍 능평리694-2번지,37.34300035,127.1492831,2019-12-28
호수,경기도 광주시 목현동산200-1번지,37.43154088,127.2351987,2019-12-28
호수,경기도 광주시 도척면 도웅리산45-6번지,37.3326396,127.3027235,2019-12-28
호수,경기도 광주시 목현동188번지,37.42543442,127.2218042,2019-12-28
호수,경기도 광주시 오포읍 능평리731번지,37.3415554,127.1463312,2019-12-28
호수,경기도 광주시 직동231-4번지,37.40981003,127.1791419,2019-12-28
호수,경기도 광주시 쌍령동451번지,37.39663693,127.2701018,2019-12-28
호수,경기도 광주시 목현동249-1번지,37.43624243,127.222427,2019-12-28
호수,경기도 광주시 오포읍 양벌리304-6번지,37.37962994,127.2536337,2019-12-28
호수,경기도 광주시 남종면 이석리1-1번지,37.50814131,127.2842102,2019-12-28
호수,경기도 광주시 오포읍 양벌리306번지,37.38035617,127.2544847,2019-12-28
호수,경기도 광주시 남한산성면 상번천리288-1번지,37.45284071,127.2706421,2019-12-28
호수,경기도 광주시 오포읍 신현리523-15번지,37.37882155,127.1674763,2019-12-28
호수,경기도 광주시 오포읍 능평리498-5번지,37.35368863,127.1595812,2019-12-28
호수,경기도 광주시 남한산성면 산성리124-1번지,37.47587792,127.1897723,2019-12-28
