종교구분코드,종교시설명,지번주소,경도,위도,데이터기준일자
성당,천진암성당,경기도 광주시 퇴촌면 우산리501번지,127.3879065,37.42179959,2019-12-25
교회,삼동교회,경기도 광주시 초월읍 선동리182번지,127.3242039,37.37620202,2019-12-25
절,무애사,경기도 광주시 초월읍 학동리367번지,127.3312573,37.37654453,2019-12-25
교회,광주제일교회,경기도 광주시 경안동433-14번지,127.2508728,37.41469653,2019-12-25
성당,곤지암성당,경기도 광주시 곤지암읍 곤지암리333-2번지,127.3484349,37.34622296,2019-12-25
교회,곤지암성결교회,경기도 광주시 곤지암읍 곤지암리337번지,127.3469733,37.34818421,2019-12-25
교회,성민교회,경기도 광주시 목현동271-40번지,127.2183529,37.43409736,2019-12-25
교회,초원교회,경기도 광주시 경안동132-9번지,127.2490387,37.41265939,2019-12-25
교회,곤지암만나교회,경기도 광주시 곤지암읍 곤지암리400-7번지,127.3438928,37.35374068,2019-12-25
교회,광주사랑의교회,경기도 광주시 송정동55-2번지,127.2593192,37.41685902,2019-12-25
교회,세상의빛선교교회,경기도 광주시 송정동101-32번지,127.2590783,37.41526686,2019-12-25
절,감로사,경기도 광주시 초월읍 신월리38-10번지,127.3297403,37.3986288,2019-12-25
교회,동성교회,경기도 광주시 송정동42-3번지,127.262626,37.41759391,2019-12-25
교회,곤지암교회,경기도 광주시 곤지암읍 곤지암리453-10번지,127.3372135,37.35013057,2019-12-25
교회,한우리교회,경기도 광주시 곤지암읍 곤지암리456-14번지,127.3394889,37.34584611,2019-12-25
교회,용수교회,경기도 광주시 초월읍 용수리230-2번지,127.3034768,37.38304861,2019-12-25
교회,샘솟는교회,경기도 광주시 곤지암읍 곤지암리495-3번지,127.3403894,37.34028905,2019-12-25
성당,오포성당,경기도 광주시 오포읍 양벌리641-5번지,127.2488366,37.36932434,2019-12-25
교회,회덕교회,경기도 광주시 회덕동270번지,127.241233,37.42825029,2019-12-25
교회,제일감리교회,경기도 광주시 송정동512-21번지,127.2619515,37.41420469,2019-12-25
교회,희망교회,경기도 광주시 송정동69-1번지,127.2616558,37.4152718,2019-12-25
교회,광지원교회,경기도 광주시 남한산성면 광지원리92-1번지,127.2482199,37.46311408,2019-12-25
절,국청사,경기도 광주시 남한산성면 산성리803번지,127.1770009,37.48402275,2019-12-25
절,성불사,경기도 광주시 목현동86-1번지,127.2283192,37.44073137,2019-12-25
절,망월사,경기도 광주시 남한산성면 산성리15번지,127.1962104,37.4782921,2019-12-25
교회,부활의교회,경기도 광주시 송정동113-1번지,127.257075,37.41556318,2019-12-25
교회,번천제일교회,경기도 광주시 남한산성면 하번천리212-3번지,127.2857126,37.44022655,2019-12-25
교회,퇴촌중앙교회,경기도 광주시 퇴촌면 도수리382-9번지,127.3184376,37.46938451,2019-12-25
절,장경사,경기도 광주시 남한산성면 산성리22-1번지,127.1977845,37.47521999,2019-12-25
교회,오포중부교회,경기도 광주시 오포읍 고산리183-11번지,127.231951,37.37088426,2019-12-25
교회,광주성결교회,경기도 광주시 송정동131-1번지,127.2572316,37.41777414,2019-12-25
수도원,실촌수양관,경기도 광주시 곤지암읍 곤지암리540-1번지,127.3534452,37.35507974,2019-12-25
교회,만성교회,경기도 광주시 곤지암읍 만선리376-4번지,127.40582,37.36967692,2019-12-25
교회,베데스다교회,경기도 광주시 송정동507-1번지,127.2594087,37.41547089,2019-12-25
교회,목현교회,경기도 광주시 목현동459번지,127.2096839,37.43599149,2019-12-25
절,승정사,경기도 광주시 회덕동359-2번지,127.246901,37.42993165,2019-12-25
교회,태전소망교회,경기도 광주시 태전동507-6번지,127.2180804,37.39364517,2019-12-25
교회,태봉단비교회,경기도 광주시 태전동667번지,127.2313717,37.39127969,2019-12-25
교회,화평교회,경기도 광주시 태전동677번지,127.2312236,37.39075135,2019-12-25
절,명복사,경기도 광주시 곤지암읍 유사리310-1번지,127.4142785,37.369074,2019-12-25
절,칠보사,경기도 광주시 송정동21-3번지,127.2697221,37.42213944,2019-12-25
절,보련암,경기도 광주시 경안동171-11번지,127.2511336,37.40872488,2019-12-25
교회,광주순복음교회,경기도 광주시 송정동212-1번지,127.2554657,37.42135621,2019-12-25
절,미타선원,경기도 광주시 곤지암읍 부항리136-1번지,127.4054295,37.3560158,2019-12-25
교회,경안중앙교회,경기도 광주시 장지동76-1번지,127.2457012,37.3950272,2019-12-25
교회,도웅교회,경기도 광주시 도척면 도웅리355-1번지,127.3030947,37.34002041,2019-12-25
교회,퇴촌제일교회,경기도 광주시 퇴촌면 관음리699-15번지,127.3249692,37.45868193,2019-12-25
교회,왕성교회,경기도 광주시 장지동373-8번지,127.2368937,37.39549174,2019-12-25
수도원,건업리기도원,경기도 광주시 곤지암읍 건업리34-2번지,127.3985485,37.40124326,2019-12-25
절,바람타고길을물어열린법당,경기도 광주시 퇴촌면 관음리212-7번지,127.3423569,37.45335335,2019-12-25
절,수왕사,경기도 광주시 곤지암읍 부항리152-3번지,127.4013751,37.3549005,2019-12-25
교회,건광교회,경기도 광주시 곤지암읍 건업리141-3번지,127.4043147,37.39337943,2019-12-25
기타종교시설,왕국회관,경기도 광주시 초월읍 지월리715번지,127.2784577,37.41811212,2019-12-25
교회,창대교회,경기도 광주시 중대동16-49번지,127.2323179,37.39372716,2019-12-25
성당,광남동성당,경기도 광주시 중대동16-117번지,127.2319037,37.39384871,2019-12-25
교회,평화교회,경기도 광주시 송정동351-1번지,127.2518645,37.42786125,2019-12-25
교회,봉현교회,경기도 광주시 곤지암읍 봉현리297-4번지,127.4038689,37.34344892,2019-12-25
수도원,소망수양관,경기도 광주시 곤지암읍 건업리산54번지,127.4050945,37.40812244,2019-12-25
교회,산이리교회,경기도 광주시 초월읍 산이리28-8번지,127.3140525,37.35930849,2019-12-25
교회,충성교회,경기도 광주시 태전동629-16번지,127.2298297,37.38350335,2019-12-25
절,백련암,경기도 광주시 오포읍 양벌리60-6번지,127.26053,37.38974388,2019-12-25
교회,태전중앙교회,경기도 광주시 태전동98번지,127.2318481,37.38431298,2019-12-25
교회,남현교회,경기도 광주시 태전동628번지,127.2294535,37.38870986,2019-12-25
교회,태봉교회,경기도 광주시 태전동265-4번지,127.2321221,37.39263636,2019-12-25
교회,태전동교회,경기도 광주시 태전동271-8번지,127.2290638,37.39310368,2019-12-25
교회,송정교회,경기도 광주시 송정동292번지,127.2591564,37.4277507,2019-12-25
교회,광주명성교회,경기도 광주시 송정동368-1번지,127.2554579,37.43112945,2019-12-25
교회,광주등불교회,경기도 광주시 송정동101-24번지,127.2580365,37.41485309,2019-12-25
성당,광주성당,경기도 광주시 경안동84-1번지,127.2543405,37.41184893,2019-12-25
교회,궁평교회,경기도 광주시 도척면 궁평리481-1번지,127.3192238,37.34007449,2019-12-25
교회,목동제일교회,경기도 광주시 목동298-9번지,127.2003986,37.38102596,2019-12-25
교회,남광교회,경기도 광주시 오포읍 양벌리537-1번지,127.2486533,37.37354078,2019-12-25
교회,소쌍평화교회,경기도 광주시 초월읍 쌍동리254-9번지,127.2974197,37.37641727,2019-12-25
교회,광주감리교회,경기도 광주시 경안동63-11번지,127.2579996,37.41142215,2019-12-25
교회,광주장로교회,경기도 광주시 경안동65-1번지,127.2580638,37.41232935,2019-12-25
수도원,할레루야기도원,경기도 광주시 남한산성면 상번천리444번지,127.2683817,37.45107415,2019-12-25
교회,광주중앙교회,경기도 광주시 경안동73-5번지,127.2557837,37.41252245,2019-12-25
절,마하연,경기도 광주시 오포읍 매산리168-1번지,127.2718389,37.34287268,2019-12-25
교회,벧엘교회,경기도 광주시 경안동98-6번지,127.25424,37.41389948,2019-12-25
교회,광주성결교회,경기도 광주시 경안동105-1번지,127.2563733,37.41502218,2019-12-25
교회,광주영광교회,경기도 광주시 경안동124-5번지,127.2519916,37.41390154,2019-12-25
교회,동광교회,경기도 광주시 탄벌동37-3번지,127.2492426,37.41604914,2019-12-25
교회,분원교회,경기도 광주시 남종면 분원리53번지,127.3041879,37.49231189,2019-12-25
수도원,충현기도원,경기도 광주시 초월읍 대쌍령리산9-15번지,127.2963916,37.38194689,2019-12-25
교회,성화교회,경기도 광주시 역동1-82번지,127.255397,37.40772687,2019-12-25
교회,예인교회,경기도 광주시 경안동156-16번지,127.2513899,37.4119458,2019-12-25
교회,양문교회,경기도 광주시 오포읍 고산리120-1번지,127.2390477,37.37143459,2019-12-25
수도원,광주기도원,경기도 광주시 송정동21-10번지,127.2689377,37.41705833,2019-12-25
교회,지음받은교회,경기도 광주시 경안동183-3번지,127.2498488,37.4080074,2019-12-25
성당,능평성당,경기도 광주시 오포읍 능평리193-2번지,127.1714318,37.34713632,2019-12-25
교회,성문교회,경기도 광주시 탄벌동279-2번지,127.2417464,37.42701702,2019-12-25
교회,선한이웃교회,경기도 광주시 오포읍 능평리515-6번지,127.1620901,37.35168658,2019-12-25
교회,양의문교회,경기도 광주시 역동27-13번지,127.2603453,37.40752138,2019-12-25
교회,초월교회,경기도 광주시 초월읍 대쌍령리264-1번지,127.2912715,37.3846725,2019-12-25
기타종교시설,이슬람교,경기도 광주시 역동48-9번지,127.2578153,37.40581837,2019-12-25
교회,반석교회,경기도 광주시 역동52-8번지,127.2565092,37.4051404,2019-12-25
교회,성원교회,경기도 광주시 역동57-8번지,127.256594,37.40414828,2019-12-25
절,불국사,경기도 광주시 남한산성면 광지원리189-4번지,127.248878,37.46418399,2019-12-25
교회,정다운교회,경기도 광주시 역동137-5번지,127.2565274,37.40181354,2019-12-25
교회,광주성산교회,경기도 광주시 역동138-2번지,127.2561107,37.40213352,2019-12-25
수도원,청운기도원,경기도 광주시 초월읍 쌍동리308번지,127.2917837,37.36769586,2019-12-25
교회,초월중앙교회,경기도 광주시 초월읍 쌍동리136-32번지,127.2993426,37.36751998,2019-12-25
절,백운사,경기도 광주시 초월읍 쌍동리산54번지,127.284504,37.3651683,2019-12-25
교회,도곡교회,경기도 광주시 초월읍 쌍동리137번지,127.2984124,37.36732047,2019-12-25
교회,전심교회,경기도 광주시 역동71-68번지,127.2557443,37.40561652,2019-12-25
절,나눔의집,경기도 광주시 퇴촌면 원당리66-5번지,127.3216834,37.44297662,2019-12-25
수도원,은혜성산기도원,경기도 광주시 목현동200번지,127.2246571,37.42614215,2019-12-25
교회,대명교회,경기도 광주시 초월읍 대쌍령리202번지,127.2874747,37.38555412,2019-12-25
절,광법사,경기도 광주시 탄벌동602-4번지,127.2342595,37.42208786,2019-12-25
