구,업종명,사업장명,영업상태,인허가일자,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적(㎡),소재지전체주소,도로명전체주소,데이터기준일자
수정구,일반음식점,가마치통닭(위례점),영업중,2018-06-08,-,-,-,-,34.05,"경기도 성남시 수정구 창곡동 509-3번지 아이에스센트럴타워, 1층 137호","경기도 성남시 수정구 위례광장로 320, 아이에스센트럴타워 1층 137호 (창곡동)",2021-03-31
수정구,일반음식점,풀코스,영업중,2000-11-10,-,-,-,-,26.13,경기도 성남시 수정구 태평동 5398 1층 일부,"경기도 성남시 수정구 남문로 13, 1층 일부호 (태평동)",2021-03-31
분당구,일반음식점,홍박사생고기신관,영업중,2009-04-15,-,-,-,-,94.5,경기도 성남시 분당구 야탑동 338-6번지 1층,"경기도 성남시 분당구 양현로 451 (야탑동,1층)",2021-03-31
분당구,일반음식점,오늘하루,영업중,2009-04-15,-,-,-,-,143.56,경기도 성남시 분당구 금곡동 208번지 삼라마이다스빌 2층일부 201호,"경기도 성남시 분당구 정자일로 21 (금곡동, 삼라마이다스빌 2층일부 201호)",2021-03-31
수정구,일반음식점,더소,영업중,2018-06-25,-,-,-,-,165.53,경기도 성남시 수정구 태평동 6834번지 외1필지 1층 일부,"경기도 성남시 수정구 성남대로 1241, 1(일부)층 (태평동)",2021-03-31
수정구,일반음식점,연주네감자탕,영업중,2008-07-04,-,-,-,-,27.02,경기도 성남시 수정구 양지동 108번지 1층,"경기도 성남시 수정구 수정로578번길 16 (양지동,1층)",2021-03-31
분당구,일반음식점,백암순대,영업중,2008-07-07,-,-,-,-,42.52,경기도 성남시 분당구 구미동 187-1번지 한솔체리빌 1층 106호,"경기도 성남시 분당구 구미로9번길 16 (구미동,한솔체리빌 1층 106호)",2021-03-31
분당구,일반음식점,제노,영업중,2008-07-07,-,-,-,-,275.28,"경기도 성남시 분당구 수내동 7-8 광진빌딩 5층 501호,502호","경기도 성남시 분당구 황새울로258번길 36 (수내동,광진빌딩 5층 501호,502호)",2021-03-31
수정구,일반음식점,평창메밀전,영업중,2002-08-16,-,-,-,-,19.95,경기도 성남시 수정구 수진동 4567-20번지 1층,"경기도 성남시 수정구 성남대로1221번길 15 (수진동,1층)",2021-03-31
중원구,일반음식점,장군육회,영업중,2002-08-19,-,-,-,-,61.19,경기도 성남시 중원구 성남동 4119번지 (1층),"경기도 성남시 중원구 둔촌대로101번길 6-5, 1층 (성남동)",2021-03-31
수정구,일반음식점,형제횟집,영업중,2003-03-06,-,-,-,-,60.8,경기도 성남시 수정구 수진동 2987번지 (101호),"경기도 성남시 수정구 수정남로 15 (수진동,(101호))",2021-03-31
중원구,일반음식점,처갓집양념치킨상대원점,영업중,2003-03-12,-,-,-,-,26.22,경기도 성남시 중원구 상대원동 1132번지 1층,"경기도 성남시 중원구 박석로 65-2, 1층 (상대원동)",2021-03-31
분당구,일반음식점,이야기둘,영업중,2015-01-09,-,-,-,-,79.04,경기도 성남시 분당구 삼평동 691번지 디테라스 1층 113호,"경기도 성남시 분당구 판교로319번길 13, 113호 (삼평동, 디테라스 1층)",2021-03-31
중원구,일반음식점,바우순대국,영업중,1999-04-20,-,-,-,-,34.92,경기도 성남시 중원구 성남동 2145번지 (1층),"경기도 성남시 중원구 원터로 119, 1층 (성남동)",2021-03-31
분당구,일반음식점,할매순대국,영업중,2002-08-08,-,-,-,-,19.43,경기도 성남시 분당구 수내동 83-1번지 동한프라자 1층,"경기도 성남시 분당구 돌마로366번길 42 (수내동,동한프라자 1층)",2021-03-31
분당구,일반음식점,바다애 매생이 굴국밥,영업중,2002-08-09,-,-,-,-,89.28,경기도 성남시 분당구 구미동 23-1 분당프라자 2층 203-1호,"경기도 성남시 분당구 돌마로 68 (구미동,분당프라자 2층 203-1호)",2021-03-31
분당구,일반음식점,황가네 꼼장군,영업중,2003-11-03,-,-,-,-,52.02,경기도 성남시 분당구 수내동 8-3 가나프라자 106호,"경기도 성남시 분당구 황새울로258번길 10-7 (수내동,가나프라자 106호)",2021-03-31
수정구,일반음식점,보릿골 성남점,영업중,2003-11-04,-,-,-,-,58.56,경기도 성남시 수정구 복정동 43-1번지 (1층),"경기도 성남시 수정구 헌릉로 998-2 (복정동,(1층))",2021-03-31
분당구,일반음식점,오백국수 야탑점,영업중,2014-07-18,-,-,-,-,37.8,경기도 성남시 분당구 야탑동 275-3번지 B01호 일부,"경기도 성남시 분당구 벌말로 43 (야탑동, B01호 일부)",2021-03-31
분당구,일반음식점,처갓집 양념치킨 야탑접,영업중,2014-07-18,-,-,-,-,25.92,경기도 성남시 분당구 야탑동 318-4번지 1층 일부,"경기도 성남시 분당구 야탑로153번길 9 (야탑동, 1층 일부)",2021-03-31
