업종명,업소명,소재지(도로명),소재지전화
일반음식점,옛날집,"경기도 하남시 하남대로787번길 74 (신장동,(1층))", 031- 793-1286
일반음식점,사랑방,"경기도 하남시 신장1로9번길 60, 1층 (신장동)", 031- 796-3436
일반음식점,토박이한식,"경기도 하남시 초이로 164 (초이동,(1,2층))",  02- 429-1066
일반음식점,으뜸갈비,"경기도 하남시 대청로21번길 15 (신장동,(1층))", 031- 795-0549
일반음식점,만강,"경기도 하남시 신장로 214 (덕풍동,(1층))", 031- 792-3033
일반음식점,유천칡냉면,"경기도 하남시 신장로 183 (덕풍동,(1층))", 031- 796-0502
일반음식점,수산시장,"경기도 하남시 대청로21번길 15 (신장동,(1층))",031 -796 -3392
일반음식점,산오징어 물회,"경기도 하남시 대청로21번길 15 (신장동,(1층))",031 -796 -3392
일반음식점,진진해장국,"경기도 하남시 대청로21번길 15 (신장동,(1층))", 031- 795-0592
일반음식점,농장사람들,"경기도 하남시 대청로22번길 9-18 (신장동,(1층))", 031- 795-4124
일반음식점,춘천골닭갈비,"경기도 하남시 신평로61번길 9, 1층 (신장동)", 031- 792-9183
일반음식점,고향 묵은지 생삼겹살,"경기도 하남시 대성로319번길 25, 1층 (덕풍동)", 031- 795-2538
일반음식점,가마골,"경기도 하남시 광암로148번길 5 (광암동,(1층))",  02- 484-6205
일반음식점,황토마루,"경기도 하남시 신장로 164 (덕풍동,(1층))",031 -795 -8350
일반음식점,똘똘이분식,경기도 하남시 수리남로21번길 1 (덕풍동), 031- 793-4830
일반음식점,청기와촌,"경기도 하남시 하남대로643번길 74 (천현동,(1층))", 031- 791-4357
일반음식점,위풍닭닭,"경기도 하남시 신장로 96, 1층 (신장동)", 031- 791-4828
일반음식점,돌구이한식,"경기도 하남시 역말로24번길 29 (덕풍동,(1층))", 031- 795-0523
일반음식점,복예가든,"경기도 하남시 동남로424번길 39 (감일동,(2층))",  02- 404-8218
일반음식점,원조청솔향기,"경기도 하남시 미사동로 43 (미사동,(1층))",031 -796 -7991
일반음식점,조마루감자탕,"경기도 하남시 하남대로776번길 35, 2층 (신장동)", 031- 793-7751
일반음식점,청산폭포가든,"경기도 하남시 산곡북로 69, 1층 (하산곡동)", 031- 793-3430
일반음식점,무봉리토종순대국,"경기도 하남시 동남로 420 (감일동,(1층))",  02- 408-0090
일반음식점,오천년코다리,"경기도 하남시 검단산로 263, 1층 (창우동)", 031- 794-1122
일반음식점,기로스숯불바베큐,"경기도 하남시 신장동로 158 (신장동,외1필지(1층))", 031- 794-9244
일반음식점,사계절 포장마차,"경기도 하남시 신장1로9번길 38 (신장동,(1층))",031 -791 -5002
일반음식점,황금방석,"경기도 하남시 수리북로34번길 14 (덕풍동,(1층))", 031- 794-5292
일반음식점,미사리바다 해장국,"경기도 하남시 미사동로 40-1, 지, 1층 (미사동)",031 -791 -8878
일반음식점,소나무집,"경기도 하남시 검단산로 342-13, 2,3층 (창우동)", 031- 795-6677
일반음식점,구가네,"경기도 하남시 동남로424번길 46 (감일동,외1필지(1층))",  02- 409-0670
일반음식점,할머니해장국,"경기도 하남시 학암로10번길 10, 1층 (학암동)",  02- 443-1001
일반음식점,온누리누룽지백숙 하남점,"경기도 하남시 서하남로 376, 1층 (춘궁동)", 031- 792-7011
일반음식점,SINCE1977나라감자탕,"경기도 하남시 신평로55번길 44-12 (덕풍동,(1층))", 031- 792-9238
일반음식점,목포아구찜,"경기도 하남시 신평로 82 (신장동,(1층))", 031- 794-1341
일반음식점,지구에서 온 아구해,"경기도 하남시 서하남로390번길 5 (춘궁동,(1,2층))", 031- 795-5252
일반음식점,하남골 흑염소요리전문점(고골점),"경기도 하남시 고골로226번길 49 (항동,(1층))", 031- 794-0792
일반음식점,하남김밥,"경기도 하남시 신장1로9번길 57-3 (신장동,(1층))", 031- 795-2753
일반음식점,팔복도가니탕,"경기도 하남시 서하남로 24, 1층 (감북동)",02  -488 -1488
일반음식점,하남돼지집 하남본점,"경기도 하남시 대청로137번길 12 (창우동,(1,2층))", 031- 796-9232
일반음식점,천장어,"경기도 하남시 동남로 381 (감일동,(1층))", 031- 485-1572
일반음식점,시어머니 청국장,"경기도 하남시 이성로41번길 217 (춘궁동,(1층))", 031- 795-1117
일반음식점,다미락,경기도 하남시 검단산로 8 (천현동),031 -795 -5056
일반음식점,쏭아,"경기도 하남시 미사대로 676 (신장동,외2필지(1,2층))",031 -792 -1503
일반음식점,돌담집,"경기도 하남시 신평로168번길 104, 1층 (신장동)", 031- 795-5589
일반음식점,행복가 포차,"경기도 하남시 신장1로3번길 20, 1층 (신장동)",031 -794 -5980
일반음식점,하루곱창,"경기도 하남시 덕풍로65번길 17 (덕풍동,(1층))", 031- 791-2425
일반음식점,"Cafe Walnut(커피,호두나무)","경기도 하남시 서하남로390번길 96 (춘궁동,(1,2층))", 031- 795-6565
일반음식점,신전떡볶이,"경기도 하남시 역말로 47-1, 1층 (덕풍동)",031 -793 -7711
일반음식점,전주향,"경기도 하남시 신장1로 6 (신장동,(1층))", 031- 795-5399
일반음식점,이화수 전통육개장 창우점,"경기도 하남시 창우로 72 (창우동,(1층))",
일반음식점,또래오래 신장점,"경기도 하남시 신장로76번길 36, 2층 (신장동)", 031- 795-2999
일반음식점,만돈만리,"경기도 하남시 검단산로 244, 1, 2층 (창우동)", 031- 796-8532
일반음식점,신계동장어,"경기도 하남시 서하남로 505, 1,2층 (춘궁동)", 031- 791-0592
일반음식점,리버,"경기도 하남시 미사동로 102-23, 1,2층 (미사동)", 031- 791-2991
일반음식점,내맘대로,"경기도 하남시 수리북로18번길 14 (덕풍동,(1층))",
일반음식점,(주)아워홈 캐슬렉스하남 G.C점(그늘집 1호),"경기도 하남시 감이로 317, 1층 (감이동)",  02- 480-5651
일반음식점,(주) 아워홈 캐슬렉스하남 G.C점(그늘집 6호),"경기도 하남시 감이로 317, 1층 (감이동)",  02- 480-5653
일반음식점,(주) 아워홈 캐슬렉스하남 G.C점(그늘집15호),"경기도 하남시 감이로 317, 1층 (감이동)",  02- 480-5654
일반음식점,노적봉한정식,"경기도 하남시 검단산로 226, 1,2층 (창우동)", 031- 794-7300
일반음식점,달다래,"경기도 하남시 하남대로776번길 47, 1층 (신장동)",031 -792 -8962
일반음식점,남매식당,"경기도 하남시 수리북로 27, 1층 (덕풍동)", 031- 793-0786
일반음식점,대원한우방,"경기도 하남시 대성로 162 (교산동,(1,2층))", 031- 792-7008
일반음식점,별난매운탕,"경기도 하남시 서하남로 85-17, 1층 (감북동)",  02- 486-6111
일반음식점,현대횟집,"경기도 하남시 미사동로 70 (미사동,(1층))",031 -794 -4498
일반음식점,있잖아요아빠1호점,"경기도 하남시 역말로 16 (덕풍동,, 524번지 (1층))", 031- 795-6362
일반음식점,푸챠오,"경기도 하남시 덕풍북로 111, 1층 (덕풍동, 대성빌딩)", 031- 771-2554
일반음식점,쌍바위가든,"경기도 하남시 학암로9번길 51 (감이동,(1층))",  02-3402-5252
일반음식점,임진강 장어구이,"경기도 하남시 서하남로390번길 88, 1층 (춘궁동)",031 -795 -9977
일반음식점,덕풍동참새방앗간소주방,"경기도 하남시 하남대로855번길 62 (덕풍동,(1층))", 031- 794-5448
일반음식점,양평신내서울해장국,"경기도 하남시 서하남로 504 (춘궁동,(1,2층))", 031- 792-7419
일반음식점,곤드레사랑,"경기도 하남시 서하남로 450-15, 1층 (춘궁동)",031 -791 -1545
일반음식점,둘둘치킨,"경기도 하남시 수리남로22번길 26 (덕풍동,(1층))",031 -794 -3440
일반음식점,수정분식,"경기도 하남시 수리북로 29 (덕풍동,(1층))", 031- 793-3014
일반음식점,청솔향기,"경기도 하남시 미사동로 76, 1,2층 (미사동)",031 -792 -8857
일반음식점,왕솥뚜껑흑돼지,"경기도 하남시 신평로 69 (신장동,(1층))", 031- 791-6525
일반음식점,친구야,"경기도 하남시 학암로10번길 6 (학암동,(1층))",  02- 402-0999
일반음식점,여주왕탕집,"경기도 하남시 신평로67번길 7 (신장동,(1층))", 031- 794-6646
일반음식점,추억커피호프,"경기도 하남시 신장로 176, 지층 (덕풍동)", 031- 791-9090
일반음식점,창근푸드(분식마을),"경기도 하남시 신장로 92 (신장동,(1층))", 031- 792-6864
일반음식점,고골풍경채맛집,"경기도 하남시 고골로 347 (상사창동,외1필지(1,2층))", 031- 793-0440
일반음식점,고부레,"경기도 하남시 미사동로40번길 20-15 (미사동,(1층))", 031- 792-4765
일반음식점,우리집,"경기도 하남시 신장1로 13, 1층 (신장동)", 031- 793-4340
