시군명,명소명,주소,유형,용도,데이터기준일자,정제도로명주소,정제지번주소,정제우편번호,정제WGS84위도,정제WGS84경도
파주시,파주 헤이리_백순실 미술관,경기도 파주시 탄현면 법흥리 1652-140,공간환경,제1종 근린생활 시설,2021-02-19,경기도 파주시 탄현면 헤이리마을길 59-30,경기도 파주시 탄현면 법흥리 1652-140,10859,37.7892755950,126.6966263211
파주시,파주 헤이리_랜드마크하우스,경기도 파주시 탄현면 법흥리 1652-208,공간환경,제2종 근린생활 시설,2021-02-19,경기도 파주시 탄현면 헤이리마을길 63,경기도 파주시 탄현면 법흥리 1652-208,10859,37.7891170456,126.6984906090
파주시,파주 헤이리_루프하우스,경기도 파주시 탄현면 법흥리 1652-308,공간환경,단독주택,2021-02-19,경기도 파주시 탄현면 헤이리마을길 18-49,경기도 파주시 탄현면 법흥리 1652-308,10859,37.7871040325,126.6953892232
파주시,파주 헤이리_헤이리더스텝바람동,경기도 파주시 탄현면 법흥리 1652-34,공간환경,판매시설,2021-02-19,경기도 파주시 탄현면 헤이리마을길 93-75,경기도 파주시 탄현면 법흥리 1652-34,10859,37.7914360764,126.6962394881
파주시,파주 헤이리_헤이리 어린이전문서점,경기도 파주시 탄현면 법흥리 1652-394,공간환경,제1종 근린생활 시설,2021-02-19,경기도 파주시 탄현면 헤이리마을길 38-43,경기도 파주시 탄현면 법흥리 1652-394,10859,37.7858239088,126.6979924164
파주시,파주 헤이리_MOA + 시경당,경기도 파주시 탄현면 법흥리 1652-469,공간환경,공동주택,2021-02-19,,경기도 파주시 탄현면 법흥리 1652-469,10859,37.7876958133,126.7002322133
파주시,파주 헤이리_갤러리 소소,경기도 파주시 탄현면 법흥리 1652-569,공간환경,제2종 근린생활 시설,2021-02-19,경기도 파주시 탄현면 헤이리마을길 92,경기도 파주시 탄현면 법흥리 1652-569,10859,37.7908117707,126.6998579050
파주시,파주 헤이리_터치아트갤러리,경기도 파주시 탄현면 법흥리 1652-569,공간환경,제2종 근린생활 시설,2021-02-19,경기도 파주시 탄현면 헤이리마을길 92,경기도 파주시 탄현면 법흥리 1652-569,10859,37.7908117707,126.6998579050
평택시,해군2함대 안보전시관(서해수호관),경기도 평택시 포승읍 원정리 1298,건축물,문화 및 집회시설,2021-02-19,,경기도 평택시 포승읍 원정리 1298,17950,36.9959318567,126.8143913857
포천시,포천반월아트홀,경기도 포천시 군내면 하성북리 596-6,건축물,문화 및 집회시설,2021-02-19,,경기도 포천시 군내면 하성북리 596-6,11151,,
포천시,포천시립 일동도서관,경기도 포천시 일동면 기산리 284-3,건축물,교육연구 시설,2021-02-19,경기도 포천시 일동면 화동로 1021,경기도 포천시 일동면 기산리 284-3,11120,37.9549078724,127.3155515678
화성시,나래울(화성시 복합복지타운),경기도 화성시 능동 1130,건축물,노유자 시설,2021-02-19,경기도 화성시 여울로2길 33,경기도 화성시 능동 1130,18427,37.2051692503,127.0515721500
화성시,동우밸브콘트롤 공장,경기도 화성시 장안면 수촌리 120,건축물,공장,2021-02-19,경기도 화성시 장안면 용당골길 3,경기도 화성시 장안면 수촌리 120,18581,37.0882392843,126.8611267641
고양시,허유재병원,경기도 고양시 일산구 장항동 780,건축물,의료시설,2021-02-19,경기도 고양시 일산동구 중앙로 1317,경기도 고양시 일산구 장항동 780,10401,37.6629288877,126.7699403885
고양시,임거당,경기도 고양시 일산구 장항동 803-6,건축물,단독주택,2021-02-19,,경기도 고양시 일산구 장항동 803-6,,,
고양시,일산ㄱ자집,경기도 고양시 일산동 1325-2,건축물,단독주택,2021-02-19,,경기도 고양시 일산동 1325-2,,,
고양시,고양아람누리,경기도 고양시 일산동 구마두동 816,건축물,문화 및 집회시설,2021-02-19,경기도 고양시 일산동구 중앙로 1286,경기도 고양시 일산동 구마두동 816,10409,37.6619067057,126.7751884537
과천시,Kwater 수도권 광역 상수도 통합운영센터,경기도 과천시 갈현동 649-1,건축물,업무시설,2021-02-19,경기도 과천시 교육원로 11,경기도 과천시 갈현동 649-1,13841,37.4228841586,126.9881391196
과천시,국립현대미술관,경기도 과천시 막계동 산58-4,건축물,문화 및 집회시설,2021-02-19,경기도 과천시 광명로 313,경기도 과천시 막계동 산58-4,13829,37.4309778122,127.0199705127
과천시,과천시 청소년수련관,경기도 과천시 문원동 199,건축물,수련시설,2021-02-19,경기도 과천시 참마을로 9,경기도 과천시 문원동 199,13828,37.4264279877,127.0008873763
과천시,코오롱타워,경기도 과천시 별양동 1-23,건축물,업무시설,2021-02-19,경기도 과천시 코오롱로 11,경기도 과천시 별양동 1-23,13837,37.4255545396,126.9905290931
광명시,광명 스피돔,경기도 광명시 광명동 452,건축물,문화 및 집회시설,2021-02-19,,경기도 광명시 광명동 452,14283,,
광명시,KTX 광명역,경기도 광명시 일직동 267-2,건축물,운수시설,2021-02-19,,경기도 광명시 일직동 267-2,,,
광주시,영은미술관,경기도 광주시 쌍령동 8-1,건축물,문화 및 집회시설,2021-02-19,경기도 광주시 청석로 300,경기도 광주시 쌍령동 8-1,12791,37.4135545420,127.2687473164
광주시,오르는 집,경기도 광주시 오포읍 신현리 506-4,건축물,단독주택,2021-02-19,경기도 광주시 오포읍 새말길329번길 30-18,경기도 광주시 오포읍 신현리 506-4,12820,37.3848821010,127.1766815466
광주시,중앙대학교자연장 관리동,경기도 광주시 중대동 46-3,건축물,제1종 근린생활 시설,2021-02-19,경기도 광주시 순암로 192,경기도 광주시 중대동 46-3,12768,37.3990004224,127.2278810502
남양주시,북한강 철교 자전거길,경기도 남양주시 조안면 진중리,공간환경,가로(거리),2021-02-19,,경기도 남양주시 조안면 진중리,12281,,
부천시,서울신학대학교 우석기념관,경기도 부천시 소사구 소사본2동 101,건축물,교육연구 시설,2021-02-19,경기도 부천시 호현로489번나길 12,경기도 부천시 소사구 소사본2동 101,14755,37.4802532737,126.7918763635
부천시,가톨릭대학교 김수환추기경국제관 및 성심컨벤션센터,경기도 부천시 원미구 역곡2동 산43-1,건축물,교육연구 시설,2021-02-19,,경기도 부천시 원미구 역곡2동 산43-1,14662,37.4844850683,126.8032378356
부천시,가톨릭대학교성심교정 학생회관,경기도 부천시 원미구 역곡동 산43-1,건축물,교육연구 시설,2021-02-19,,경기도 부천시 원미구 역곡동 산43-1,14662,37.4844850683,126.8032378356
성남시,가나안교회,경기도 성남시 분당구 구미동 207,건축물,종교시설,2021-02-19,경기도 성남시 분당구 미금로 34,경기도 성남시 분당구 구미동 207,13626,37.3367240077,127.1172262683
성남시,분당 C-11-4-12,경기도 성남시 분당구 분당동 51-5,건축물,단독주택,2021-02-19,경기도 성남시 분당구 예원로6번길 11,경기도 성남시 분당구 분당동 51-5,13582,37.3701460411,127.1339070176
성남시,SK텔레시스 판교연구소,경기도 성남시 분당구 삼평동 671,건축물,교육연구 시설,2021-02-19,경기도 성남시 분당구 판교역로 225-12,경기도 성남시 분당구 삼평동 671,13494,37.4008453455,127.1080762400
성남시,할렐루야교회,경기도 성남시 분당구 야탑동 132,건축물,종교시설,2021-02-19,경기도 성남시 분당구 야탑로 368,경기도 성남시 분당구 야탑동 132,13509,37.4104142500,127.1561302368
성남시,르 씨뜨 빌모트,경기도 성남시 분당구 운중동 379-4,건축물,공동주택,2021-02-19,경기도 성남시 분당구 하오개로351번길 9,경기도 성남시 분당구 운중동 379-4,13455,37.3921398708,127.0574989126
