,category,name,location,tag,like,pick,review,rating
759,숙박,제주토비스콘도,애월,"['숙소 ', ' 휴양콘도 ', ' 애월 ', ' 한담']",0,0,0,0
760,숙박,제주통나무휴양펜션,표선,['휴식'],2,0,0,0
761,숙박,제주파도소리,구좌,['민박'],0,1,0,0
762,숙박,제주파크랜드,애월,['휴식'],0,0,0,0
763,숙박,제주팔레스호텔,제주시내,['호텔'],0,0,0,0
764,숙박,제주팡숑예래,서귀포시내,['휴식/힐링'],0,1,0,0
765,숙박,제주펄관광호텔,제주시내,['호텔'],1,0,0,0
766,숙박,제주펜션오다,제주시내,['펜션'],0,0,0,0
767,숙박,제주펜션향림원,서귀포시내,['휴식'],0,0,0,0
768,숙박,제주포시즌호텔,제주시내,['휴식/힐링'],1,2,0,0
769,숙박,제주프렌즈펜션,한경,['펜션'],0,0,0,0
770,숙박,제주필하우스,조천,['휴식'],0,0,0,0
771,숙박,제주하나호텔,중문,['호텔'],2,3,0,0
772,숙박,제주항공우주호텔,안덕,['호텔'],0,7,0,0
773,숙박,제주해조대펜션,한림,['휴식'],1,1,0,0
774,숙박,제주휴리조트,성산,['휴식'],0,1,0,0
775,숙박,조은민박,추차도,"['한지그림 ', '추자민박 ', '추자도']",0,0,0,0
776,숙박,조이랜드펜션,애월,['휴식'],0,7,0,0
777,숙박,조천댁,조천,[],0,1,0,0
778,숙박,조천스테이,조천,['독채펜션'],0,1,0,0
779,숙박,종달스토리,구좌,[],0,2,0,0
780,숙박,중문빌리지,서귀포시내,['펜션'],0,0,0,0
781,숙박,중문진실캠핑장,중문,['휴식/힐링'],0,0,0,0
782,숙박,중문통나무휴양펜션,서귀포시내,['휴식'],0,2,0,0
783,숙박,중문햇빛펜션,안덕,['휴식'],0,0,0,0
784,숙박,중문훼미리리조트,서귀포시내,['휴식'],1,1,0,0
785,숙박,쥬빌리펜션,안덕,['휴식'],1,0,0,0
786,숙박,지삿개풍경,서귀포시내,[],0,1,0,0
787,숙박,지현민박,우도,['민박'],0,0,0,0
788,숙박,천상의노을,애월,['우수관광사업체'],1,0,0,0
789,숙박,청재설헌,서귀포시내,"['웰니스 ', ' 겨울 ', ' 숙박']",1,0,0,0
790,숙박,청정고을민박,추차도,"['추자민박 ', '추자도민박 ', '상추자항근처민박 ', '상추자도숙소 ', '추자숙소 ', '추자도']",0,0,0,0
791,숙박,체이슨호텔 더 리드,서귀포시내,['호텔'],0,0,0,0
792,숙박,체이슨호텔 더 스마일,서귀포시내,['호텔'],0,5,0,0
793,숙박,초록새록,애월,['휴식'],0,0,0,0
794,숙박,초록하우스,한림,['휴식'],0,1,0,0
795,숙박,초콜릿펜션,제주시내,['휴식'],0,1,0,0
796,숙박,추사랑민박,추차도,"['추자민박 ', '추자숙소 ', '추자도']",0,0,0,0
797,숙박,추자도민박,추차도,"['추자방송 ', '추자선상낚시 ', '낚시체험 ', '추자도']",0,0,0,0
798,숙박,추자도휴양펜션,추차도,"['추자한옥 ', '한옥민박 ', '추자도']",0,0,0,0
