,장소,부모님,아이,친구,커플,친척,가족,지인,연인,혼자,둘,셋,넷,경관,인생샷,휴식,공원,유적지,미술,박물관,익스트림,스포츠,체험,드라이브,쇼핑,전시,자연,산책
29,한라,0.15740886,0.21860595,0.23576021,0.12982932,0.117307834,0.14011177,0.18802823,0.1300585,0.20299815,0.16856045,0.2280513,0.116888,0.18668984,0.18879165,0.18939726,0.28510237,0.13576934,0.17872478,0.16151819,0.13021128,0.08446488,0.15366808,0.23803225,0.24369504,0.117826216,0.25989234,0.27547276
30,정방폭포,0.22191413,0.24282846,0.22256409,0.1758469,0.20428908,0.25009507,0.26788253,0.21916506,0.22669862,0.24406067,0.16007486,0.1817477,0.28087676,0.21936302,0.18404189,0.30015385,0.26586893,0.15100828,0.2190501,0.17932211,0.101640865,0.15769836,0.16053821,0.17902818,0.23174149,0.21203156,0.31971866
31,용두암,0.19898994,0.22796433,0.24723558,0.17532167,0.15796962,0.2260793,0.2595132,0.24813849,0.2086049,0.23630092,0.14584273,0.16690823,0.23287562,0.29222047,0.20072253,0.23644915,0.2568715,0.13356799,0.21207076,0.20503503,0.122240625,0.23066522,0.29108784,0.22639304,0.15852171,0.215016,0.2554681
32,절물,0.2712664,0.25342685,0.28240585,0.20879862,0.20836467,0.24761967,0.27964747,0.24443036,0.3077377,0.26893356,0.25619787,0.1381902,0.28057683,0.3003524,0.28584597,0.28759825,0.25515357,0.15484625,0.28781065,0.15139069,0.07495475,0.24584052,0.24722213,0.16206208,0.23650432,0.29593125,0.36341637
33,산방산,0.25705126,0.21804899,0.21734324,0.22654791,0.1783067,0.24444288,0.22735319,0.26239267,0.21513514,0.23305537,0.12716438,0.12855116,0.29652846,0.32783574,0.21188958,0.2690498,0.21786782,0.11614777,0.20449361,0.259309,0.0993572,0.19510345,0.28770906,0.18868858,0.16074148,0.30599535,0.29885942
34,다랑쉬오름,0.2636534,0.1712531,0.18983214,0.23262511,0.16585258,0.23892038,0.19990107,0.23716262,0.2335897,0.2128989,0.13770677,0.10546745,0.24171025,0.27965754,0.21235387,0.19839989,0.29115802,0.11943066,0.15834826,0.21215673,0.11593338,0.13349646,0.19509819,0.17451167,0.10279003,0.22373948,0.2683504
35,한림,0.22372085,0.20141308,0.24460025,0.16949178,0.14572915,0.14723276,0.2365239,0.11408313,0.1733602,0.16138123,0.15977745,0.07275131,0.20946126,0.19203418,0.17327678,0.25529233,0.17991532,0.1156767,0.1928367,0.22664991,0.11305716,0.2334829,0.24911147,0.14422935,0.13289371,0.15174711,0.26908532
36,더럭,0.3158122,0.36222762,0.29724723,0.24913476,0.24469632,0.2716317,0.24834228,0.29353014,0.23016828,0.24978895,0.21545833,0.15685016,0.21982211,0.2834921,0.17948218,0.25046995,0.33082715,0.20801893,0.25128666,0.20042127,0.08691253,0.25241303,0.2666757,0.11504556,0.1727472,0.27887982,0.292351
37,외돌,0.2197903,0.21038714,0.19887447,0.25291607,0.14572108,0.22886342,0.23422638,0.29390094,0.22871268,0.22939067,0.16667336,0.14624701,0.23213772,0.2743201,0.2313405,0.23745018,0.26322395,0.13001177,0.1819187,0.21855533,0.1641013,0.21183991,0.22977474,0.22355764,0.16415717,0.22289322,0.2864958
38,천제연폭포,0.25345498,0.28700334,0.27764887,0.22501421,0.16625965,0.2238342,0.2978691,0.24966814,0.19429258,0.23277435,0.17590919,0.13725233,0.24678434,0.27354515,0.22406018,0.2637565,0.27060598,0.12498346,0.3190757,0.2577268,0.12586461,0.24136801,0.2475518,0.219107,0.2293705,0.2306402,0.30666912
39,방주,0.23488443,0.23514089,0.22291763,0.14155762,0.1700446,0.17219707,0.23058663,0.20781022,0.18558773,0.13501307,0.108764805,0.20430285,0.2281992,0.27818835,0.20982721,0.19355668,0.09843765,0.22634414,0.2443782,0.14533255,0.06491235,0.26202106,0.13942838,0.14970118,0.22682722,0.36162302,0.18858126
40,가파도,0.21793807,0.2611383,0.24185008,0.13926421,0.16617414,0.20747204,0.23266494,0.20294976,0.3125427,0.24125597,0.17695343,0.17945357,0.21684888,0.26118731,0.18966325,0.25688243,0.16701135,0.14275092,0.19904663,0.25188845,0.05142405,0.21872562,0.25901145,0.24387918,0.16552451,0.21329764,0.27850407
41,이호,0.22640523,0.26767278,0.26300493,0.21875013,0.14532632,0.22030436,0.18484971,0.25502574,0.2248692,0.22331952,0.17273626,0.17323086,0.17249677,0.24824451,0.23374714,0.25345764,0.17081101,0.16461028,0.20663874,0.24279499,0.17997646,0.23229304,0.28143835,0.25894612,0.19080377,0.15583721,0.30898494
42,중문,0.28105685,0.26768112,0.2758102,0.29944023,0.16019055,0.23759693,0.23024236,0.22822791,0.2479437,0.19065493,0.12663695,0.10015351,0.18944208,0.267941,0.21141575,0.2192108,0.15139705,0.14330894,0.21821254,0.26866835,0.23344606,0.24639538,0.27549034,0.24217923,0.117801026,0.1989468,0.2854759
43,신창,0.33957016,0.35346168,0.40285695,0.31095165,0.30295604,0.3678397,0.39058363,0.35313392,0.33956033,0.3369102,0.32759362,0.332505,0.28055775,0.3571188,0.29521704,0.41495782,0.37166297,0.35583946,0.3385337,0.3379548,0.2860427,0.323157,0.45083147,0.37717712,0.28689164,0.3018246,0.47713104
44,김녕,0.24472386,0.27347088,0.28256094,0.23444495,0.16917521,0.26258332,0.24805522,0.22305666,0.26756263,0.25242674,0.14944968,0.19231926,0.1550903,0.2546587,0.16999233,0.2638618,0.19837238,0.14369865,0.20149554,0.16965625,0.097663954,0.22588064,0.26607862,0.16340628,0.12836206,0.19446816,0.28038907
45,비양도,0.21201475,0.2236915,0.22477505,0.25051373,0.1410133,0.23226354,0.2474744,0.20830233,0.21584368,0.25452012,0.1402355,0.082685895,0.24412861,0.30680096,0.17955114,0.25154817,0.19949818,0.06818403,0.23204365,0.22278295,0.13514033,0.2025432,0.2431956,0.128548,0.09323894,0.2720995,0.2751369
46,성이시돌목장,0.2711745,0.30907896,0.26152477,0.24111377,0.23916256,0.24513091,0.28685236,0.25395584,0.24918811,0.2133504,0.15890984,0.17413637,0.21654412,0.30394995,0.21657687,0.27065942,0.4220515,0.12038558,0.29712373,0.17271852,0.057516884,0.32542914,0.35357314,0.23611239,0.17624414,0.21986502,0.33563128
47,애리,0.27661425,0.26798373,0.24133277,0.21531387,0.16764124,0.2139118,0.21279886,0.24407974,0.20885012,0.24130893,0.14528108,0.15817013,0.29881114,0.36369625,0.26850456,0.41070825,0.18837595,0.11898586,0.2714393,0.26924157,0.15737045,0.32304645,0.26983777,0.24493039,0.24946879,0.34334177,0.32731766
48,주상절리,0.23372276,0.25325316,0.24577034,0.2512189,0.13247406,0.20266786,0.19335087,0.26370525,0.22623898,0.16274035,0.12888274,0.1432834,0.34481734,0.31752077,0.22564071,0.2635324,0.23485622,0.18004946,0.25450033,0.30725363,0.14619943,0.24016063,0.29572454,0.18529591,0.2321175,0.33513784,0.3256557
49,검멀,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,산책로,0.2447551,0.27093008,0.27762258,0.2251827,0.168881,0.2553152,0.24473388,0.33381307,0.26327878,0.26000947,0.22951046,0.12807183,0.4220029,0.33166113,0.36727628,0.44244254,0.34487537,0.14367297,0.26562193,0.26081225,0.20305108,0.2696395,0.40779036,0.2236751,0.23938361,0.33706293,0.64714754
51,황우,0.17370391,0.24756463,0.19541661,0.22042811,0.10532844,0.2458835,0.2139642,0.24423957,0.22178337,0.2452609,0.23698254,0.11963385,0.29266918,0.2701867,0.1973353,0.23292981,0.2511496,0.09423373,0.17791349,0.245179,0.15197906,0.1683503,0.30193514,0.11951797,0.10869393,0.24733457,0.29917508
52,만장굴,0.24120104,0.2483983,0.20165211,0.15526341,0.14038834,0.22441308,0.22021762,0.200967,0.22135046,0.19978881,0.1332791,0.15916488,0.23027575,0.22142848,0.19001976,0.2274783,0.25997394,0.15296116,0.28050423,0.24294543,0.11638137,0.19793123,0.19111058,0.15678377,0.20795104,0.27177557,0.27225062
53,공원,0.21116585,0.26980585,0.26054275,0.18622452,0.121924415,0.2553485,0.19602604,0.28162605,0.20270139,0.15050161,0.13920596,0.16170856,0.35718933,0.26405045,0.23516524,1.0,0.3396024,0.18402518,0.364635,0.266596,0.174567,0.2596968,0.3045059,0.24792434,0.22532605,0.2968498,0.4215817
54,백약,0.22390376,0.16688061,0.21076962,0.19766873,0.2155393,0.23251809,0.24383903,0.17525564,0.2028154,0.17901164,0.15795521,0.09278291,0.24671865,0.27714878,0.27249014,0.18650907,0.21389973,0.10232164,0.15232068,0.10903196,0.08836512,0.16539764,0.25227976,0.1578095,0.099097684,0.21806458,0.26976192
55,보롬왓,0.27951694,0.25991055,0.274162,0.23730347,0.22647518,0.25695443,0.2816683,0.27010942,0.23172256,0.16604556,0.18182883,0.16734004,0.24368697,0.38931906,0.25587922,0.29537895,0.20255168,0.1249325,0.22223438,0.24376127,0.14341913,0.3192711,0.37514699,0.31297785,0.20274115,0.32100183,0.33868325
56,관덕정,0.11377856,0.17527393,0.15631284,0.13628149,0.12048591,0.12105399,0.20250198,0.11234337,0.138624,0.108871624,0.06735168,0.087983504,0.1798772,0.116254576,0.17731902,0.21059877,0.34301385,0.12907736,0.16387516,0.057641428,0.072932504,0.13666448,0.15353268,0.2419545,0.18935485,0.120621465,0.20760877
57,메이즈랜드,0.289238,0.32810938,0.2522622,0.24682912,0.10837446,0.2761587,0.25391752,0.29316664,0.25770125,0.2633143,0.18488052,0.16604841,0.1937769,0.3158222,0.21772753,0.35734433,0.27055174,0.15591384,0.41083872,0.30987328,0.18071482,0.29980427,0.24215311,0.19224289,0.22680256,0.26229054,0.30262488
58,새연교,0.2870106,0.23601687,0.23200579,0.24831955,0.1305663,0.2472519,0.24533972,0.34070426,0.257917,0.24063577,0.1242593,0.0898851,0.30561733,0.25731578,0.24650925,0.26356253,0.15897882,0.19129528,0.19417621,0.23599193,0.18625572,0.16027611,0.25812346,0.19624853,0.22753048,0.20244747,0.3650805
59,표선,0.21392103,0.29191846,0.27272946,0.25244683,0.1597457,0.22153077,0.35329476,0.21399151,0.23336996,0.24569982,0.18779862,0.18378615,0.17977504,0.24454866,0.21741286,0.20632102,0.22075662,0.115118355,0.20363925,0.1931683,0.13208455,0.27850688,0.32852042,0.18187593,0.16799846,0.21720812,0.27881497
60,김영갑,0.20039004,0.21686685,0.2218788,0.15045293,0.16776443,0.17164183,0.19582644,0.18468854,0.22876959,0.145908,0.13484445,0.11810668,0.14937632,0.26517126,0.226764,0.15443188,0.22267963,0.2772048,0.26439607,0.14117777,0.04923789,0.17923158,0.19328672,0.07949509,0.32866818,0.27441025,0.20033889
61,따라비오름,0.18627784,0.14434235,0.15268928,0.1751167,0.17757772,0.23065057,0.20008197,0.2291279,0.21340871,0.24893646,0.2507096,0.2168977,0.19958556,0.25212967,0.20906265,0.22920968,0.23877022,0.1598673,0.24926327,0.17853841,0.13298798,0.22178838,0.2500013,0.14033397,0.07616026,0.22986475,0.28108832
62,관광,0.25750673,0.19961281,0.18650627,0.24383944,0.118436664,0.2871327,0.22703135,0.20732835,0.177031,0.17769502,0.12529162,0.16761863,0.37184185,0.20665322,0.23652956,0.32882896,0.22842655,0.16810335,0.24493977,0.27392045,0.2476699,0.30099458,0.25104466,0.30334216,0.17499265,0.24340142,0.33619767
63,오름,0.23891383,0.25694725,0.23558784,0.24180716,0.171176,0.24119355,0.20965499,0.2293143,0.25522453,0.23667862,0.21464175,0.16487253,0.25262168,0.33679646,0.24596879,0.29089448,0.26022035,0.16473062,0.23808071,0.23296621,0.1159906,0.17506729,0.2448986,0.19013211,0.17533895,0.28232014,0.40559447
64,수목원,0.22339892,0.2794544,0.22497815,0.16813514,0.17531396,0.22029093,0.21252099,0.21753198,0.18248658,0.172525,0.18177286,0.1329391,0.24657425,0.26708984,0.2531282,0.3871038,0.28451794,0.19313383,0.3588124,0.2190252,0.11350967,0.2395922,0.32165164,0.2353285,0.25847834,0.3223226,0.3838482
65,해변,0.26850644,0.26828492,0.22190285,0.25364736,0.19277787,0.24388346,0.23813899,0.30203637,0.24803595,0.28742093,0.2257806,0.17951074,0.29057103,0.368266,0.2548666,0.32332763,0.25033727,0.12484325,0.23459515,0.25027215,0.119420305,0.25930026,0.38210908,0.21833941,0.21870244,0.27623892,0.37157124
66,백록담,0.18800351,0.18118154,0.22497556,0.21770796,0.14668582,0.18534431,0.20361939,0.18602502,0.25610456,0.15709135,0.10873132,0.17606735,0.24506211,0.29767123,0.20198679,0.15543997,0.18533912,0.10322282,0.14741784,0.20671669,0.09371625,0.18301922,0.15798339,0.09913251,0.16826257,0.18751726,0.24826474
67,해수욕장,0.22468695,0.27389184,0.23954415,0.24945916,0.1970284,0.28701746,0.2865802,0.26829356,0.2384168,0.25717676,0.20359875,0.14756015,0.2851472,0.28805962,0.23812395,0.31501293,0.26710442,0.12574148,0.25616813,0.24167469,0.15187734,0.25687498,0.36770046,0.22444636,0.20032175,0.24031791,0.3407905
68,선녀,0.27241814,0.27334565,0.19997531,0.15306857,0.15378839,0.24846987,0.17820512,0.28858703,0.17538902,0.19340773,0.20983264,0.112772144,0.21025088,0.24455559,0.17188889,0.25694072,0.11716585,0.0910683,0.21442634,0.2518114,0.17519721,0.15891689,0.18376468,0.11114802,0.106287286,0.28201723,0.2116566
69,제주,0.33567518,0.2990224,0.299165,0.22260225,0.22209918,0.32892543,0.32336652,0.28329313,0.27321297,0.2260361,0.23729265,0.19283387,0.28895497,0.32640642,0.27769965,0.31443262,0.2658557,0.1652438,0.27730992,0.2622664,0.1425852,0.323143,0.32932112,0.2309404,0.18310595,0.33545643,0.3597246
70,마방,0.281819,0.30867532,0.2681222,0.19988099,0.22536537,0.22943959,0.25672984,0.2702126,0.2408446,0.23510003,0.15526369,0.089298315,0.3071203,0.26414484,0.31167668,0.32934988,0.30292588,0.097167104,0.28366154,0.22216141,0.17432058,0.2543866,0.36482757,0.18402675,0.13306248,0.2966257,0.32049122
71,아끈,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,아침,0.28629053,0.28498256,0.29351047,0.24450016,0.22050606,0.27749544,0.27211678,0.25807384,0.3878815,0.33045202,0.22663897,0.19735561,0.13394564,0.2589995,0.28200662,0.21859571,0.14403065,0.107018635,0.17274746,0.15594044,0.056272157,0.25438294,0.3588351,0.24268652,0.13960755,0.25946558,0.39330137
73,용담,0.19557306,0.21753818,0.20200507,0.19704585,0.07791525,0.18023577,0.19535984,0.2342121,0.17405212,0.19037573,0.15107946,0.11701732,0.16175923,0.21851279,0.23379356,0.23087163,0.14727442,0.16936922,0.16793302,0.20446222,0.14986873,0.16605762,0.3287748,0.1641326,0.16237989,0.18889138,0.28594238
74,해변,0.26850644,0.26828492,0.22190285,0.25364736,0.19277787,0.24388346,0.23813899,0.30203637,0.24803595,0.28742093,0.2257806,0.17951074,0.29057103,0.368266,0.2548666,0.32332763,0.25033727,0.12484325,0.23459515,0.25027215,0.119420305,0.25930026,0.38210908,0.21833941,0.21870244,0.27623892,0.37157124
75,이중섭,0.19676834,0.20751104,0.19993377,0.13817617,0.12143177,0.21700728,0.17444083,0.2540369,0.16092971,0.18394737,0.1064633,0.14007863,0.19091074,0.19792375,0.2050256,0.28816238,0.15433088,0.3122783,0.2814569,0.14990236,0.10692295,0.1694597,0.14486855,0.26487833,0.36450642,0.2527738,0.30635607
76,차귀도,0.22632524,0.22939697,0.19376937,0.19977257,0.16496828,0.22535622,0.23446833,0.2265681,0.19888137,0.20485513,0.17126587,0.13908373,0.2818508,0.23229183,0.23828085,0.22805654,0.14547543,0.12585396,0.23278901,0.3096125,0.15237288,0.18458357,0.24353781,0.24949397,0.17552823,0.28565764,0.24968967
77,너븐숭,0.25841036,0.28158295,0.24132213,0.18490131,0.3038039,0.29091543,0.29224503,0.30188406,0.2670144,0.20747745,0.22526307,0.17377847,0.16880965,0.21371275,0.20050654,0.30711073,0.5317046,0.21531682,0.31685406,0.14076297,0.13307557,0.23023535,0.241956,0.16644588,0.25278753,0.204362,0.31070596
78,아부오름,0.25508556,0.2304661,0.21614528,0.24222942,0.22890367,0.25262052,0.23322824,0.22007076,0.24801718,0.17877963,0.17474303,0.08948769,0.25348577,0.3074389,0.24664122,0.2543061,0.25991806,0.16590098,0.26732105,0.21067588,0.11688374,0.18648662,0.2415005,0.16357735,0.10146321,0.26929092,0.3478122
79,비양도,0.21201475,0.2236915,0.22477505,0.25051373,0.1410133,0.23226354,0.2474744,0.20830233,0.21584368,0.25452012,0.1402355,0.082685895,0.24412861,0.30680096,0.17955114,0.25154817,0.19949818,0.06818403,0.23204365,0.22278295,0.13514033,0.2025432,0.2431956,0.128548,0.09323894,0.2720995,0.2751369
80,월령,0.117365286,0.20890038,0.20576385,0.1501365,0.18721125,0.111640014,0.26786613,0.15874103,0.24835937,0.17441258,0.14019594,0.13009228,0.1699754,0.22598922,0.15249543,0.22205478,0.19054647,0.13994494,0.14344984,0.22856827,0.09583679,0.20163417,0.2794546,0.11631487,0.12022302,0.15823993,0.29649448
81,여미지식물원,0.2866286,0.2869057,0.3068263,0.24732052,0.13542049,0.29789755,0.35214794,0.24736969,0.21743138,0.20606923,0.16845055,0.16347,0.27670276,0.3075288,0.28114575,0.368846,0.3194231,0.20519066,0.46179482,0.2636688,0.22141486,0.3070274,0.33490852,0.33524656,0.2836032,0.33832923,0.35590297
82,유리,0.1551742,0.23124607,0.15281439,0.19031844,0.025019253,0.17554021,0.14949942,0.19110686,0.16003302,0.14211893,0.1223502,0.05872739,0.21810624,0.27711833,0.15939286,0.16820091,0.18971404,0.25877047,0.23791371,0.23090926,0.14156544,0.20847708,0.12256618,0.14496934,0.29521817,0.24787202,0.1723621
