,장소,부모님,아이,친구,커플,친척,가족,지인,연인,혼자,둘,셋,넷
525,알프스,0.1486288,0.14990635,0.15292762,0.11930769,0.16422619,0.18694142,0.19599259,0.19422053,0.10939932,0.1277444,0.13591368,0.18788746
526,하물,0.20138165,0.24054527,0.178612,0.16693555,0.26268288,0.20400561,0.26177222,0.20472609,0.21658063,0.24269004,0.25573874,0.2286121
527,어린이,0.34730083,0.5747553,0.27422452,0.2666822,0.21637863,0.37723428,0.19471954,0.31259906,0.23940843,0.20277975,0.13605656,0.23497653
528,오백,0.14363036,0.060983572,0.18345365,0.14860761,0.2005732,0.17287774,0.18248716,0.17404144,0.16739178,0.21913038,0.14475143,0.1783379
529,평리,0.22477344,0.21137503,0.18550925,0.17815267,0.195355,0.19967337,0.30064067,0.18513863,0.202855,0.17077275,0.094173,0.15573066
530,와흘,0.27040654,0.20797226,0.27145326,0.21018243,0.34623054,0.32412988,0.3464828,0.25947422,0.22856475,0.26744694,0.20376304,0.1715188
531,왈종,0.23145631,0.2226138,0.27022827,0.20800178,0.18332793,0.2656458,0.26434273,0.24239886,0.26849693,0.18771803,0.12551641,0.14673214
532,왕이,,,,,,,,,,,,
533,용수항,0.18705645,0.17046997,0.20871061,0.27550924,0.20214763,0.22985789,0.3317087,0.21160316,0.23777615,0.23008408,0.16117497,0.14978704
534,박물관,0.2249866,0.23199984,0.18885711,0.16131184,0.09822739,0.22169934,0.18429717,0.21165892,0.109386936,0.10266951,0.08706523,0.12895572
535,스쿠터,0.24238682,0.26916406,0.33292332,0.26599842,0.23387675,0.2723868,0.19975048,0.24714226,0.34820974,0.31285554,0.25044698,0.1988629
536,올레,0.22043127,0.22772892,0.23528601,0.22046569,0.15014826,0.2285834,0.30933702,0.22180253,0.32459676,0.2749496,0.18869482,0.15861298
537,원수,0.24024566,0.1603004,0.16014135,0.15157789,0.32326978,0.20678258,0.14151116,0.1079295,0.1932586,0.25529402,0.21998993,0.18224043
538,월대,,,,,,,,,,,,
539,포구,0.17709284,0.19191298,0.21309318,0.17141515,0.16722521,0.19105685,0.34690696,0.23170024,0.18203974,0.21787322,0.13077196,0.11507656
540,유건,0.30388445,0.27216792,0.22966272,0.16100802,0.31234738,0.25886476,0.28745216,0.15136887,0.33730298,0.35577452,0.3118928,0.23728149
541,이덕구,0.12011086,0.09244229,0.14671761,0.08089556,0.3283943,0.20733696,0.23743597,0.13250181,0.16341624,0.16945775,0.23483291,0.16094762
542,자배봉,0.2926345,0.3073669,0.25240952,0.20034209,0.2814755,0.322726,0.31581905,0.23423308,0.25371552,0.24914043,0.23091626,0.119062625
543,절부,0.27702057,0.2507285,0.2735809,0.2344985,0.46007687,0.3007207,0.3153043,0.2980567,0.27701974,0.30018163,0.26302457,0.29806566
544,정주,0.20114702,0.19263339,0.20652525,0.12345596,0.21273606,0.19859551,0.24663182,0.12347931,0.10656224,0.13267525,0.10112068,0.14943294
545,제주,0.3443678,0.31716934,0.2932077,0.23242766,0.19678059,0.33901587,0.33037695,0.2830096,0.2847068,0.2667905,0.26203644,0.17455456
546,난타,0.24493569,0.2605281,0.20426282,0.25203216,0.14603332,0.25132817,0.1920385,0.2036145,0.21346773,0.21807176,0.1811895,0.22110252
547,프,0.13283463,0.25669098,0.2267096,0.15326975,0.09934568,0.17075926,0.24438214,0.24522382,0.12329273,0.15898398,0.13454795,0.17364219
548,롯데,0.1822245,0.19482957,0.19538008,0.18877527,0.109757364,0.21119118,0.19677307,0.108172566,0.19217089,0.17854357,0.19430059,0.22410807
549,민속,0.22083516,0.20895644,0.17953026,0.11926696,0.22156906,0.2224992,0.19227059,0.12032424,0.10544087,0.1255223,0.04732293,0.05198292
550,바다,0.26248515,0.35364878,0.29895866,0.29916546,0.2176457,0.29980254,0.23176888,0.32370687,0.33779877,0.26616055,0.26373285,0.16560774
551,성지,0.17262918,0.13281935,0.16110134,0.18047556,0.11987762,0.22214821,0.25430202,0.2330315,0.14605342,0.1335632,0.10960391,0.12137582
552,스쿠터,0.24238682,0.26916406,0.33292332,0.26599842,0.23387675,0.2723868,0.19975048,0.24714226,0.34820974,0.31285554,0.25044698,0.1988629
553,승마,0.3207761,0.30424082,0.2659274,0.25630212,0.14167568,0.25926548,0.17549138,0.21362525,0.28311142,0.25467288,0.18274778,0.103588074
554,올레,0.22043127,0.22772892,0.23528601,0.22046569,0.15014826,0.2285834,0.30933702,0.22180253,0.32459676,0.2749496,0.18869482,0.15861298
555,올레,0.22043127,0.22772892,0.23528601,0.22046569,0.15014826,0.2285834,0.30933702,0.22180253,0.32459676,0.2749496,0.18869482,0.15861298
556,올레,0.22043127,0.22772892,0.23528601,0.22046569,0.15014826,0.2285834,0.30933702,0.22180253,0.32459676,0.2749496,0.18869482,0.15861298
557,올레,0.22043127,0.22772892,0.23528601,0.22046569,0.15014826,0.2285834,0.30933702,0.22180253,0.32459676,0.2749496,0.18869482,0.15861298
558,워터월드,0.25380564,0.3116953,0.22197334,0.24150041,0.1086372,0.3318104,0.27083838,0.28471977,0.18418905,0.15870944,0.17579307,0.27036077
559,제트,0.24533528,0.29376936,0.22845957,0.27898312,0.12800048,0.25501344,0.17800413,0.29251152,0.17942819,0.24613982,0.13816595,0.21779671
560,카트,0.25979254,0.33445,0.28895348,0.31258497,0.15800312,0.2750134,0.17281042,0.26608372,0.25796938,0.28966817,0.20498352,0.20521456
561,항일,0.15610412,0.1668922,0.11656274,0.117326215,0.15390453,0.18720016,0.25240496,0.12624319,0.15697265,0.15187508,0.1259335,0.057492577
562,향교,0.1158397,0.12699887,0.09948169,0.08801505,0.107025415,0.15511067,0.12370517,0.06408679,0.12430025,0.062218294,0.040455595,0.037157692
563,좌보,0.11641011,0.19154906,0.173092,0.14806022,0.18402414,0.16869503,0.17500335,0.21118014,0.17782192,0.17529514,0.1788034,0.1521619
564,지그,0.07107883,0.17229474,0.17086062,0.26838824,0.0481267,0.08799042,0.12505183,0.13361087,0.17698003,0.22659467,0.13710883,0.2683979
565,포뮤,0.30141917,0.35364017,0.27459145,0.26507783,0.15423384,0.33435512,0.28789413,0.37754816,0.24884932,0.2505526,0.1983734,0.2781029
566,요트,0.25391212,0.24410641,0.23671362,0.28088847,0.14161381,0.26233536,0.20664263,0.24908379,0.23936571,0.23436919,0.17127243,0.12503
567,유람선,0.25902152,0.2473968,0.16086,0.18239035,0.09897663,0.24107227,0.18886176,0.29155996,0.14098105,0.20599699,0.08715966,0.10956981
568,참살이,0.15082613,0.20319308,0.16302177,0.1824643,0.14193681,0.23559265,0.20009854,0.2664301,0.077192746,0.11818237,0.15724148,0.21178874
569,천아,,,,,,,,,,,,
570,천지연,0.24356717,0.24999997,0.23288119,0.21239768,0.19308387,0.23667885,0.22979937,0.2733269,0.24832734,0.23979434,0.1870514,0.14517039
571,유배,0.21290335,0.12362855,0.13227467,0.14495364,0.24459252,0.27338532,0.20175652,0.2139943,0.19472325,0.049206797,0.024311166,0.027576104
572,숭어,0.19071646,0.25852847,0.26042902,0.24844131,0.16560093,0.20640033,0.2674718,0.16879773,0.21072978,0.1880143,0.13698645,0.16120377
573,케이,0.19335985,0.2172975,0.16175017,0.24503928,0.09022307,0.19381255,0.11553007,0.2241628,0.1597214,0.17099133,0.2046877,0.35216147
574,바리,0.10797623,0.18098311,0.15673196,0.2615592,0.17130457,0.18271817,0.24478541,0.15073869,0.23636886,0.19273685,0.2039568,0.21549103
575,보카,0.25934112,0.29621926,0.33153236,0.2443628,0.28560585,0.24939299,0.26241803,0.23524699,0.36957288,0.34457988,0.2823416,0.31325412
576,통오,,,,,,,,,,,,
577,오름,0.25249785,0.25531417,0.25537345,0.22995919,0.17980579,0.24695718,0.24389881,0.23158738,0.27998677,0.2522158,0.19686733,0.1648911
578,팜핑,0.2797537,0.31954315,0.33927697,0.33981967,0.22341777,0.39791495,0.35587803,0.34138328,0.26003698,0.24324861,0.24035339,0.33484837
579,평화통일,0.18419665,0.24244565,0.16981846,0.1655804,0.18203385,0.21645969,0.17743105,0.20052427,0.10880107,0.091906175,0.13993038,0.14914075
580,포도,0.15788078,0.19715983,0.15317482,0.15102735,0.08809847,0.15536667,0.1242606,0.10363121,0.15627366,0.13168976,0.14542769,0.16413346
581,프랑스,0.086181045,0.0782746,0.10495433,0.113200024,0.1960316,0.11814426,0.14313625,0.14296585,0.17139551,0.1645212,0.12905604,0.097220786
582,피규,0.36967164,0.4387946,0.37072504,0.32170343,0.32012707,0.3600707,0.2684913,0.42598915,0.3449493,0.37918022,0.27222323,0.36522838
583,핀크스,0.2157304,0.25575846,0.20490757,0.20275135,0.15487649,0.24883905,0.27198792,0.22101356,0.18127574,0.20735958,0.19940493,0.20111477
584,한국,0.17177603,0.1391316,0.10133156,0.08741024,0.15208197,0.14693221,0.12675434,0.09935122,0.15640216,0.08085151,0.11982406,0.16928631
585,한울,0.26695538,0.22750136,0.23980863,0.13012208,0.27058393,0.27230757,0.29347715,0.22999102,0.17714359,0.16984403,0.15572561,0.270185
586,해거,,,,,,,,,,,,
587,해녀,0.2544352,0.2761554,0.24444324,0.20928423,0.20607373,0.20058115,0.24754384,0.1783931,0.21478681,0.20572987,0.09087315,0.086291015
588,행원,,,,,,,,,,,,
589,화북,0.12124172,0.17489375,0.09440829,0.064377286,0.12618765,0.181093,0.20663491,0.14492252,0.094096646,0.17150761,0.13716239,0.0846988
590,(주,,,,,,,,,,,,
591,해원,0.2164713,0.20363879,0.1848804,0.22469816,0.28210327,0.25804785,0.20309943,0.23035233,0.24289551,0.29947725,0.24245048,0.30448163
592,연대,0.097286545,0.1250028,0.12758505,0.05537493,0.16024004,0.14264005,0.13045824,0.16617033,0.06925712,0.12785529,0.14807901,0.087001234
593,디지털,0.13034686,0.18405277,0.1564342,0.20537879,0.04682751,0.1635146,0.16524349,0.20726335,0.14449179,0.126722,0.13326523,0.2785894
594,TH,,,,,,,,,,,,
595,호텔,0.2411175,0.23187342,0.18336168,0.27576312,0.08333652,0.2519197,0.21585265,0.18146372,0.20593879,0.2067816,0.2404964,0.17511395
596,가마,0.06839843,0.14987159,0.11957581,0.1020211,0.06402432,0.15179735,0.1743099,0.09016363,0.1685886,0.12102009,0.09808209,0.09079622
